,term,controversy,tfidf,logodds
0,facepiece,,1.1350657500310177e-05,
1,postacute,,4.492457763963228e-06,
2,extremely,0.306338743730456,0.0006508203866707218,0.10173866016137019
3,printout,,8.501477910900655e-06,
4,reread,,5.536954423843645e-06,
5,binder,,1.3093456497668884e-05,
6,foods,0.442372172860276,0.0006963161965444122,0.8188314013321593
7,fearless,,1.5141853038905805e-05,
8,compare,,0.0001762267482046806,0.1846267564056639
9,first,0.34575101465491903,0.005471200228102954,0.3170558142574104
10,ricci,,4.474772121436702e-06,
11,salmon,,0.00011378619977526066,0.08931657660133903
12,midterm,,2.766512214135139e-05,0.472308828857445
13,reposted,,9.356654947811102e-06,
14,needlessly,,2.178504717213099e-05,
15,comorbidity,,6.885652549893355e-05,
16,interviewing,,6.283050269717431e-05,1.3632817527473102
17,irreparable,,1.9245377252983026e-05,
18,scaleup,,8.62513060924914e-06,
19,fortnite,,5.204730879247445e-05,
20,immunity,0.3001348362560096,0.0006218285691727574,0.016455228336467252
21,libel,,7.57812044225655e-06,
22,ecstatic,,1.2309943042283148e-05,
23,clean,0.40159204595476666,0.0010682155660409992,0.04257909874964931
24,financially,,0.0002822800142290797,0.37993550872642984
25,authority,0.33043159525697474,0.0006557596945154518,0.37666829304947885
26,leigh,,8.145872644000119e-05,
27,lemurs,,1.0567171748103307e-05,
28,incubating,,7.595897498297582e-06,
29,seasonings,,9.49440470646662e-06,
30,onceinageneration,,1.033148246758426e-05,
31,cemented,,1.0203854548191705e-05,
32,crab,,0.00015163137829360792,
33,jankowski,,1.9613719284969464e-06,
34,velasquez,,5.572232001986439e-06,
35,nominating,,6.39867312468911e-05,0.19486286529923982
36,nadu,,1.1448286623011507e-05,
37,prompted,,0.0002849420177693467,0.12400213458922914
38,visitation,,5.489315143305563e-05,0.4215090471646515
39,primates,,1.3732139123133329e-05,
40,prescreening,,1.482927314444236e-05,
41,warrants,,5.31468650439516e-05,0.35452579320106153
42,fail,,0.00022991231029382653,0.2271863708244599
43,vodka,,9.619148950128455e-05,0.8369519424453541
44,raining,,2.0710620975576485e-05,
45,flowers,,0.0002699244289754537,0.40315990849645494
46,populace,,1.7048772819028735e-05,
47,inspected,,6.293114986391317e-05,
48,religiously,,1.651299423452024e-05,
49,effigy,,4.272962948500975e-05,
50,offscreen,,1.9250795538786743e-05,
51,harder,0.2980799028944404,0.0005075990301226422,0.1846267564056639
52,routine,0.3624452152304468,0.0007930153900008827,0.7621891875319236
53,legitimately,,2.1499062966440786e-05,
54,blockslong,,2.360909875832875e-06,
55,harknett,,3.24994017471039e-05,
56,poultry,,0.00022544165053471683,1.1707610616470832
57,guitars,,7.030996008138539e-05,
58,residue,,4.4920591918537385e-06,
59,figuring,,0.00016019282255709863,0.004500590175144834
60,somewhere,,0.000283712998256328,0.18462675640566403
61,shoe,,0.00015141203113596394,0.3174651873915721
62,blame,0.2632601235569725,0.0005104582661786207,0.18462675640566414
63,pulp,,2.4495490062386662e-05,
64,dicks,,4.302686783951887e-05,
65,ships,0.3588533141394666,0.0006234486959719648,0.8551450322395121
66,50pound,,3.7724421139974366e-06,
67,scientists,0.31606823235836506,0.0009900656137672712,0.23911494168973368
68,plastics,,4.795060782185642e-05,
69,antiaging,,7.6780276526016e-06,
70,pleaded,,0.00012177988767330465,0.8352143225468134
71,evelyn,,1.970509337710803e-05,
72,highway,,0.0001364187502098467,1.081039616925612
73,regions,0.34421737238126504,0.0003334823596197632,0.5445308616773142
74,uh,,0.00012037933342196256,0.7133148368002946
75,likes,0.3343746465943392,0.00029023048588523774,0.06969678973168698
76,rocketed,,2.1080904207954718e-05,
77,relieving,,1.8223160143040008e-05,
78,dying,0.349815663765964,0.000738742569484427,0.13779545672156493
79,bernardo,,4.168654721501897e-06,
80,cnn,0.40691120379113377,0.005516881637475002,2.7039206495414456
81,bralette,,1.3283934115703874e-05,
82,cleo,,9.93198110873403e-06,
83,tallulah,,2.5447370218065418e-05,
84,maple,,5.0530937321122905e-05,
85,burdens,,5.232925798103288e-05,0.06668767187524186
86,scarboroughs,,2.115681654989233e-05,
87,bulgaria,,1.3586607061628054e-05,
88,deans,,2.93645695509619e-05,
89,doctoral,,1.9764630264873148e-05,
90,dolls,,3.992864038232792e-05,0.8777739369656093
91,unimaginable,,3.557382511846162e-05,
92,energize,,1.7892186515044136e-05,
93,twilight,,3.0260122474952016e-05,
94,countylevel,,9.973980750272394e-06,
95,mindboggling,,1.808968239407375e-05,
96,b6,,4.118343415452712e-06,
97,rigged,,4.3608466765465356e-05,0.759990901309226
98,spirits,,0.000252889090722011,0.2276180386878794
99,tuscany,,2.1073080602875072e-05,
100,firstterm,,3.063160325304089e-05,
101,hijab,,2.0199605891158426e-05,
102,christie,,0.00013889309733774752,1.4118564228958672
103,bordered,,9.698578288062026e-06,
104,noting,0.33082164239773315,0.0006213315804256168,0.5312247123940395
105,downsides,,2.3667965204691436e-05,
106,sanitized,,0.0001274515618502252,0.008736089941999604
107,rucker,,6.028841453364329e-05,
108,colbert,0.4805405417597612,0.00042574127813948734,2.3392917193230875
109,faroe,,2.0150293486782466e-05,
110,bedtime,,0.0001063123919040069,0.5593202058470746
111,lambert,,0.00010162900283925665,0.7152550074678344
112,mart,,9.045246630419459e-06,
113,salvage,,5.618985113553313e-05,
114,brusque,,4.866776625229263e-06,
115,unrelenting,,2.689087776280581e-05,
116,rapid,0.46307576550860896,0.0004374208202178523,0.7154411399616036
117,ninety-four,,0.00018622444056851426,0.16474888505145693
118,jeopardize,,3.8124833868325426e-05,
119,inspires,,3.638422993468448e-05,
120,anxiously,,2.9638528413906073e-05,
121,darice,,1.3363573305063639e-05,
122,fivemonth,,9.68480820136054e-06,
123,pandemicthe,,2.5050207829589564e-06,
124,filming,,0.0001577987520493341,1.231945750686223
125,liberties,,0.00014138309132064346,0.03309672743920654
126,execution,,3.609115892381995e-05,
127,azzolina,,1.740786211198696e-05,
128,moxie,,5.159979937119139e-06,
129,inaccurately,,2.0666868265999458e-05,
130,frecce,,4.456402259182818e-06,
131,negotiate,,0.00011247042795118402,0.1528780580910838
132,aghast,,2.1863145192533995e-05,
133,recessions,,5.097715726173747e-05,0.15183693358267303
134,jarring,,6.167220739994767e-05,0.514868443276241
135,broadly,,0.00012342628111166196,0.28297013280950656
136,fillers,,2.2663833751687227e-05,
137,ringing,,5.7886535437196365e-05,
138,outlying,,6.0585635308968516e-06,
139,sprang,,3.790914180876131e-05,
140,tote,,3.654991958189754e-05,
141,benfer,,1.3485428436552403e-05,
142,consider,0.44463900276900203,0.0011291311273589782,0.08337302270049105
143,outraised,,8.607028986053806e-06,
144,closing,0.29354501239470354,0.0007027166954173855,0.45914415075638776
145,buffet,,8.129996308420728e-05,0.7236232571383509
146,warranty,,6.0980920348584895e-05,
147,worded,,1.338373561790423e-05,
148,singeractress,,4.399314480075587e-06,
149,differs,,6.474517995837691e-05,0.14017499383483012
150,consultation,,6.656874782884787e-05,0.6263034598106647
151,gown,,0.00010680682327257259,0.02016765624034925
152,subtracted,,4.482082917704938e-06,
153,twenty-seven,0.4668887910842591,0.0010855545681576954,0.39588714916737505
154,rollercoaster,,2.553966214432214e-05,
155,pounced,,3.459983018693567e-05,
156,h2a,,2.889743637857191e-05,
157,filter,0.30223372871174353,0.00035800560009739376,0.4044862325186837
158,turner,,0.0001413813391119507,0.5694725773110927
159,sic,,4.63486008148648e-05,0.4424558657077637
