,term,controversy,tfidf,logodds
0,ranted,,2.370908055988635e-05,
1,kettle,,8.10581894821523e-06,
2,confirmed,0.6096341609954834,0.0034445823443811628,0.21819863547636054
3,mettle,,5.971955639677847e-06,
4,brooklyn,0.8054637908935547,0.00042157679748421257,0.788915364759986
5,incur,,1.1292633465253054e-05,
6,lost,0.6323428153991699,0.001380295580216065,0.09632236935071853
7,ying,,2.52851126422252e-05,
8,ounces,,8.618527096797548e-05,
9,stigma,,0.0001234672816816609,1.2101046096092756
10,starts,0.8437270522117615,0.00031654251692346725,0.6686662366084091
11,gbajabiamila,,1.2629334468943333e-05,
12,persevere,,3.7293203799255836e-05,
13,sakes,,1.4973892897477168e-05,
14,punitive,,5.2795609504020644e-05,0.989561839995123
15,selfquarantining,,0.00015436908746338483,0.2632011285002448
16,scar,,1.6025405656268535e-05,
17,hogs,,2.1341234160288366e-05,
18,intelligent,,7.26828154061509e-05,0.5730468957003739
19,wifes,,0.00011614502526274852,0.3550086777533674
20,passenger,0.5599687099456787,0.0004317307295716076,0.6490302620915502
21,footnotes,,1.7784814162656114e-05,
22,riyadh,,1.4211609278376818e-05,
23,giridharadas,,2.5293925527166835e-05,
24,verdicts,,1.1732034817482866e-05,
25,uninjured,,9.281791363399588e-06,
26,bombastic,,8.31749049437983e-06,
27,gil,,1.5208287730188514e-05,
28,headquartered,,3.062511274637745e-05,
29,ilia,,1.0737071691029727e-05,
30,subway,,0.0002627793669414736,0.06649083425419064
31,tee,,3.420639160315807e-05,
32,eighty-six,,0.00029380603788694496,0.21614836316372857
33,undervalued,,9.211667386632216e-06,
34,buckingham,,8.19735034922789e-05,
35,bankers,,2.597678382827359e-05,
36,guy,0.62166827917099,0.0007034575732532728,0.06657315943684061
37,unrecognizable,,1.7012418069782067e-05,
38,yojong,,2.2672755809385475e-05,
39,wits,,9.333358935696348e-06,
40,auto,,0.0002442143166813736,0.26415379721695653
41,nanshan,,1.3047421737039862e-05,
42,even,0.7794963121414185,0.004890493243016003,0.18306601052847082
43,78yearold,,2.5513432822577825e-05,
44,seen,0.749660313129425,0.0023189074740213433,0.09732392993266735
45,mineral,,7.5730299622812406e-06,
46,contexts,,4.475501783343236e-06,
47,dummy,,1.510094865511852e-05,
48,manny,,0.00010706814002507006,
49,storys,,1.8808293698612736e-05,
50,coachella,,7.944620111783465e-05,
51,arraigned,,7.704681997536654e-06,
52,repurposing,,2.2295768815947912e-05,
53,reengage,,1.666959640901328e-05,
54,comptroller,,1.6839759418597915e-05,
55,deeds,,3.0154653811679922e-05,
56,ghana,,5.9636561026163036e-05,
57,tamiflu,,9.766802011663747e-06,
58,shuttered,,0.00028200338560347685,0.48634467981445445
59,caterpillar,,1.0529341386853587e-05,
60,hartsfieldjackson,,1.726937275148381e-05,
61,javad,,1.4635275893515615e-05,
62,mortgages,,4.33232111120666e-05,
63,jacksonvilles,,1.696912517960535e-05,
64,threeminute,,1.3250271402245208e-05,
65,colossal,,4.9956643337966335e-05,
66,arabiclanguage,,1.0485372179861185e-05,
67,criticizes,,6.501347458839332e-05,
68,morena,,5.766921920918149e-06,
69,kitchens,,3.90951628994969e-05,
70,suburban,,6.98558999670342e-05,0.46953756149807346
71,generic,,0.00013419840545105408,1.2101046096092756
72,bugs,,1.5683522141700128e-05,
73,medieval,,2.6517338021894448e-05,
74,worthwhile,,2.7007795144922623e-05,
75,successfully,,0.0002808414079309763,0.8065756105279777
76,leaguewide,,1.098770423760637e-05,
77,opposed,0.7740210294723511,0.00040953679381247756,0.11665140375119326
78,stunts,,3.302464450135811e-05,
79,collector,,1.2033263224569543e-05,
80,cancelations,,3.259763376591693e-05,
81,marker,,4.0562899632188984e-05,
82,relationships,,0.0002020877008171368,0.656243716609852
83,dabney,,4.726508828180023e-06,
84,metastasize,,6.095884189395449e-06,
85,lark,,7.350404734502641e-06,
86,eras,,2.168087066124159e-05,
87,kenmore,,7.210676208557521e-06,
88,strolling,,2.2009344649680945e-05,
89,mcnally,,3.62557409300612e-05,
90,category,,0.00018687668723223644,0.06446654206495975
91,vices,,3.699997877924371e-05,
92,sununu,,2.8275461254061868e-05,
93,relinquished,,9.188845209171982e-06,
94,paradigm,,2.192699256567035e-05,
95,grave,,0.00019293996286315525,0.6055108263907755
96,li,0.6082115173339844,0.0007403357212053548,1.2718384938799963
97,inkind,,5.503065135393527e-06,
98,phase,0.5829046964645386,0.0012360116361135073,0.18051910165312535
99,shulepov,,1.2934973019573803e-05,
100,spectra,,5.593645984464017e-06,
101,loomer,,2.3620187552193476e-05,
102,treatment,0.5600619316101074,0.0015858249376710255,0.01541849085154397
