,term,controversy,tfidf,logodds
0,danson,,5.7967755888584765e-06,
1,flakes,,2.3484178293881264e-05,
2,ranted,,4.176697712247927e-05,
3,kettle,,2.1405370743044326e-05,
4,confirmed,0.5490826368331909,0.00259547893133102,0.4733980299457228
5,problemsolver,,4.695633604997e-06,
6,brooklyn,0.6185867786407471,0.0003657421709954455,0.5900918645138282
7,incur,,2.761697230339579e-05,
8,flashlight,,3.2777148804550504e-05,
9,lost,0.5635942816734314,0.0025635534866520248,0.40819605100310863
10,cashing,,1.568148524413907e-05,
11,ying,,4.811873365174798e-05,
12,ounces,,0.0001273411354586191,0.642051816778804
13,1s,,1.6017049022908575e-05,
14,stigma,,0.0001717202664491293,0.3082407123728407
15,starts,0.7597058415412903,0.0004486097567341367,0.043907643543422
16,melancholy,,5.8234031424485935e-06,
17,persevere,,2.004103508789121e-05,
18,sakes,,1.9895198097996372e-05,
19,suzie,,3.188280976737069e-06,
20,punitive,,2.5358888177111343e-05,
21,selfquarantining,,0.00011111284188473616,0.3174651873915721
22,spiro,,1.5482792101731427e-05,
23,scar,,2.6075917208072985e-05,
24,dickens,,2.504958395185833e-05,
25,hogs,,6.810275165837757e-05,
26,intelligent,,4.406940983218042e-05,0.6413851589013788
27,wifes,,6.804859569119586e-05,0.2208383517025005
28,passenger,0.6307289600372314,0.0005716100507135294,1.1958816676471828
29,riyadh,,1.9181291721627948e-05,
30,businessasusual,,1.9001869755414716e-05,
31,verdicts,,1.561551726619445e-05,
32,bombastic,,1.815095309614918e-05,
33,headquartered,,3.663301269943013e-05,
34,bespoke,,2.2298931530903333e-05,
35,batborne,,9.04403513908922e-06,
36,ilia,,1.1458294990126404e-05,
37,subway,,0.00021109573439982184,0.8208951091964336
38,antimedia,,2.1629399947472504e-06,
39,tee,,4.315939585109873e-05,
40,eighty-six,,0.00020515566466996235,0.8158257677902016
41,undervalued,,3.588882143093307e-05,
42,palma,,6.453477747600175e-06,
43,shortform,,2.4875260447820257e-05,
44,buckingham,,6.57150805398478e-05,0.8237067156953333
45,baselessly,,3.639100333474522e-05,
46,bankers,,4.259639016797487e-05,
47,guy,0.6651545763015747,0.0005423455261398087,0.4743559124791699
48,unrecognizable,,1.6589980274967753e-05,
49,catalan,,1.154412026967333e-05,
50,harveys,,7.314641854941106e-06,
51,wits,,2.3738345273998806e-05,
52,auto,0.6978164911270142,0.0003007534494536806,1.2340328892162584
53,nanshan,,1.813494499653275e-05,
54,even,0.8216107487678528,0.006203490019536255,0.10897510798312135
55,78yearold,,2.9916721026500288e-05,
56,raccoons,,1.3112182464719038e-05,
57,inbound,,3.541913223718741e-05,
58,seen,0.6634557843208313,0.002205877224209972,0.23426700502821093
59,mineral,,4.034549186289345e-05,
60,contexts,,5.124967982661236e-06,
61,dummy,,3.0344794984969818e-05,
62,manny,,1.0205579842430706e-05,
63,recoil,,5.470234845417291e-06,
64,sappy,,6.260487812339531e-06,
65,coachella,,6.499505775720695e-05,0.5593202058470749
66,storys,,9.927441956294109e-06,
67,arraigned,,2.9827930164007278e-05,
68,fulfills,,8.592453589406705e-06,
69,comptroller,,1.353651339728936e-05,
70,deeds,,1.6651351897578033e-05,
71,ghana,,4.04754361538245e-05,
72,shuttered,0.5738722085952759,0.0003814049752498066,0.086988286841748
73,caterpillar,,9.002700398671985e-06,
74,hartsfieldjackson,,4.7996733429637545e-05,
75,mortgages,,7.19321498443241e-05,0.3830776951295023
76,chaka,,5.389979262573064e-06,
77,threeminute,,4.111085716250077e-05,
78,unveilings,,8.74633984675851e-06,
79,morley,,1.6805795353157727e-05,
80,colossal,,3.157287770046623e-05,
81,criticizes,,1.9039060305936187e-05,
82,kitchens,,0.0001122145397528527,0.3824797032589162
83,suburban,,0.0001280139023407252,0.170576516921612
84,generic,,7.908045905408578e-05,0.2668648546426358
85,irl,,2.490227366143309e-05,
86,bugs,,3.129902257416196e-05,
87,antidiscrimination,,9.9383886639225e-06,
88,ziad,,1.5368701241829055e-05,
89,medieval,,1.415764035440307e-05,
90,worthwhile,,4.583244253828879e-05,0.4424558657077637
91,successfully,,0.0002633584128257543,0.09021816928543641
92,leaguewide,,2.209842691478778e-06,
93,opposed,0.7455525994300842,0.0002917504630130069,0.09501459771597677
94,stunts,,1.3313563000784145e-05,
95,collector,,9.64311732297185e-06,
96,unmanageable,,2.3445050959628698e-05,
97,marker,,6.755412144293982e-05,0.3922661211839087
98,relationships,0.5731521248817444,0.0003969768818404898,0.6672091678582598
99,pe,,2.4750809499532434e-05,
100,eras,,6.5580578507769276e-06,
101,griefstricken,,2.8933600986767768e-06,
102,strolling,,2.1059514958707694e-05,
103,mcnally,,3.456804193474026e-05,
104,category,,0.00025716305926711013,0.13814663585738726
105,vices,,1.3508688773274369e-05,
106,sununu,,4.9185769545235374e-05,
107,relinquished,,6.935382102642809e-06,
108,mentee,,4.071489990278906e-06,
109,paradigm,,1.7157430479073563e-05,
110,piqued,,3.565505526742076e-05,
111,grave,,0.000170068679568166,0.38335728120027535
112,li,0.921066164970398,0.0005982918609676528,1.5896191303296827
113,inkind,,2.709974454847952e-06,
114,phase,0.6630415916442871,0.0007226031522290443,0.7028959052920487
115,treatment,0.543869137763977,0.0016623950266192412,0.11485899142778766
116,hence,,5.52576065774421e-05,0.14079564402896383
117,bosss,,8.555874555672146e-06,
118,feelgood,,4.512765695428639e-05,
119,henderson,,0.00010581477141414041,0.5291397113570171
120,trading,0.654564380645752,0.00045091086661721127,2.25772027896354
121,embedded,,5.5778441137518455e-05,0.07542746444067186
122,indiana,0.7924443483352661,0.0003595970762895917,0.1674923709972075
123,hendrick,,1.3347760010053781e-05,
124,ellies,,3.3260192982543677e-06,
125,devout,,1.27535981215418e-05,
126,yard,,0.00018957916796979342,0.05400657398859998
127,wideranging,,5.825652040750177e-05,
128,disinfection,,0.0001504781141286594,
129,oldham,,8.397640030311116e-06,
130,right,0.7170574069023132,0.006701153062761938,0.3914534220606732
131,dominic,,0.0001356165786289692,0.017610110089232203
132,teachable,,5.620590136741283e-05,
133,statesmen,,7.0379453711617066e-06,
134,nonessential,0.5566440224647522,0.0007127413956062392,0.2081195792947258
135,rwanda,,2.6725316687342758e-05,
136,chequers,,1.918470743107986e-05,
137,seekers,,8.546112266448535e-05,
138,botsford,,3.851857243507545e-06,
139,costar,,6.603172968250205e-05,
140,breakups,,7.176723334609098e-06,
141,preposterous,,2.7865147212283316e-05,
142,sweeteners,,1.6566722192483906e-05,
143,leavening,,1.403479450519554e-05,
144,ava,,1.107872162146771e-05,
145,wellintentioned,,2.012091953439839e-05,
146,gaetzs,,1.9627587203874236e-05,
147,ronny,,3.4999327477907227e-06,
148,shampoos,,2.2093430911509698e-05,
149,viewpoint,,2.9903393378579593e-05,
150,calcium,,5.148038553689454e-05,
151,howls,,7.368245749323997e-06,
152,misled,,2.9085467471428805e-05,
153,trumpbranded,,1.0628903740494336e-05,
154,tufts,,3.067357236711408e-05,
155,foregone,,7.764549356103155e-06,
156,salts,,3.2698247172453665e-05,
157,b5,,3.965690622906277e-06,
