,term,controversy,tfidf,logodds
0,guardsman,,2.730157836926878e-05,
1,chihjung,,4.6924000931254434e-06,
2,cadre,,1.7630057214719625e-05,
3,yearold,,1.761941148464581e-05,
4,selfcertified,,1.203318639514358e-05,
5,asian,0.3355827424269696,0.00041564732794710957,0.6013043040563856
6,halfbrother,,1.6413718138935946e-05,
7,assuring,,7.24406311445849e-05,0.2964146594351779
8,guatemalans,,1.8410640320990825e-05,
9,cheerlead,,5.101185825986296e-06,
10,putin,,0.000260605162916727,0.23081737694936477
11,portfolios,,2.3222610973116225e-05,
12,sentencing,,9.584768869594308e-05,
13,cshift,,3.116756334446515e-06,
14,remanded,,6.776740491870992e-06,
15,lemons,,2.882622211157666e-05,
16,frankie,,2.0051538030018973e-05,
17,therapeutics,,0.00012495455478675314,0.2193812829523508
18,ladders,,1.5703211563593167e-05,
19,nominal,,9.990883644933686e-06,
20,crashed,,0.00013384240065851516,0.07327110812096811
21,seeded,,3.981302779126028e-05,
22,commonplace,,4.5195151430069103e-05,
23,elisabeth,,2.2380059703657392e-05,
24,isolates,,1.9449712112468937e-05,
25,inclement,,4.011943233220695e-06,
26,jesuit,,2.121961083628973e-05,
27,unnamed,,0.00023724846432343226,0.6652601389941655
28,kungflu,,1.198982362347986e-05,
29,amiss,,7.579137946690864e-06,
30,kianoush,,1.0889234689231133e-05,
31,par,,4.9468345211035635e-05,
32,inmates,0.21157125037583713,0.000805815229373279,0.05130066876021535
33,remarried,,1.4543197037236627e-05,
34,marsha,,9.321089255666891e-05,0.7043828977614607
35,wound,,0.00011377540153457748,0.05960217325900538
36,technique,,4.7829512654480545e-05,
37,treading,,8.343775264911073e-06,
38,factions,,4.305759514956502e-05,
39,hm,,1.047009934434958e-05,
40,thr,,1.800935630519107e-05,
41,stun,,1.733701327193601e-05,
42,mammogram,,1.1354058354184655e-06,
43,resurfaced,,6.635362810943331e-05,
44,tattle,,7.484176483109055e-06,
45,odors,,1.096351724858809e-05,
46,new,0.2817443297118538,0.01072713598024837,0.2424107647121426
47,michele,,4.778923058586525e-05,
48,dodger,,1.691938877376094e-05,
49,jansa,,1.953045446655738e-05,
50,despicable,,0.0001264701856227237,1.3642552894365338
51,drank,,2.4026321191496892e-05,
52,nathaniel,,1.0924371713983156e-05,
53,approve,0.2852158308543535,0.0004574545020501943,0.3565185835048834
54,handguns,,2.6152595640015836e-05,
55,middletown,,8.362703755517126e-06,
56,competing,,0.00015129958404067718,0.2540553855960364
57,harry,,0.0007414033907688874,2.8785419314981873
58,punishing,,7.506403788257e-05,0.79458916564761
59,continuum,,1.594790777516622e-05,
60,coulter,,1.0420332240738432e-05,
61,mccluskey,,2.292084387226033e-05,
62,obituaries,,1.9399694858383308e-05,
63,pseudonymous,,3.7080482614057935e-06,
64,uplifting,,0.00019568702712172164,
65,tapping,,2.5194817467824325e-05,
66,kntv,,8.186405572938366e-06,
67,dawn,,7.215804621800437e-05,0.2757953722324421
68,roundup,,1.3442679099072736e-05,
69,sinaloa,,8.94595317253766e-05,1.7556157913631563
70,nabarro,,2.160573310308222e-05,
71,effected,,1.0907753700203383e-05,
72,10week,,1.5563491665348483e-05,
73,advisable,,1.4332825186889706e-05,
74,cleric,,4.5481602978697464e-05,
75,changers,,1.5517859565023015e-05,
76,fomenting,,4.8363952343757766e-05,
77,pissing,,1.7592812351232618e-05,
78,mysteriously,,1.5129548615817585e-05,
79,carmel,,8.10723099728498e-06,
80,faithful,,0.00016585157188047503,0.6498055281727204
81,sixfeet,,3.216721924330087e-05,
82,tesco,,2.1961950280867564e-05,
83,kenyatta,,2.6636589458005458e-05,
84,faltering,,1.5572545387664686e-05,
85,counted,,0.00016430500220186476,0.31584486198566664
86,matthew,0.3355064170894744,0.0003465435509082968,0.10473078752846998
87,forty-three,0.411123654340592,0.00042371913702776536,0.003300121872089141
88,outlets,0.22295513576908452,0.0006635534228524977,0.9880980680821408
89,louisianas,,4.7985469577624e-05,
90,councilman,,8.438580933966522e-05,
91,storing,,2.9966686529110678e-05,
92,save,0.2136598442802784,0.0010402577672326968,0.31250921685683536
93,dust,,0.00012482118049931943,
94,syncytial,,3.2224890431975957e-06,
95,scale,0.24072167620749937,0.0004484382847956289,0.3493163176595916
96,dumped,,9.940342605825475e-05,0.2964146594351779
97,mizzou,,4.7177947674069326e-06,
98,panned,,0.00011024244766753804,
99,vaughan,,6.95505626933505e-05,0.8717788043387399
100,bacon,,0.00012428618082185953,0.22929957682456328
101,buddy,,6.46672925566215e-05,
102,distributor,,2.7773108879470645e-05,
103,france,0.26138187748239894,0.0009416111282734089,0.6798038158441424
104,marshall,,0.0001842254887639772,1.0888374921062691
105,shy,,6.877325069703876e-05,0.22064151408144891
106,dakota,0.28314389303475046,0.00035800933112704934,0.23360065872395383
107,wight,,1.7800171111236605e-05,
108,recession,,0.00026398000056281664,0.043838300025941
109,bout,,0.0001151991215037642,0.09007822643734928
110,scifi,,2.2979006999952255e-05,
111,wares,,1.0743040583635572e-05,
112,amplifies,,2.61043516067631e-06,
113,phillip,,5.737899915993859e-05,
114,league,0.30117700827321714,0.001329564729897388,0.499189586302924
115,angels,,0.0001539228657379488,0.6145990153381334
