,term,controversy,tfidf,logodds
0,guardsman,,1.1782250876579429e-05,
1,cadre,,1.713042002679002e-05,
2,yearold,,3.096778807039221e-05,
3,withers,,4.7070370908556346e-05,
4,asian,0.20395087623087016,0.0007879218397755807,0.41857689677723375
5,halfbrother,,3.504276075645042e-06,
6,assuring,,6.127246947882178e-05,0.2716381333952938
7,putin,,0.0001844640126275434,1.5789618358556947
8,portfolios,,2.6882452294795862e-05,
9,sentencing,,3.796521471417497e-05,0.5523515365309812
10,lemons,,0.00011801308405739418,
11,frankie,,1.7042722030118813e-05,
12,therapeutics,,7.0832226334309e-05,
13,ladders,,1.0934001055819614e-05,
14,nominal,,1.5355139549651577e-05,
15,crashed,,0.0001032410399166447,0.4118935884652098
16,commonplace,,6.484197509559677e-05,0.6264595086847032
17,elisabeth,,1.3609239114485354e-05,
18,suhoor,,1.6406683001947536e-05,
19,isolates,,1.8175023956324468e-05,
20,heller,,0.00013904530681369326,
21,lehrer,,1.3425434585256266e-05,
22,jesuit,,6.29424911186234e-06,
23,karnataka,,9.402299965037177e-06,
24,halos,,8.236284963978294e-06,
25,unnamed,,0.0001005655458667833,0.5815081208224367
26,kungflu,,1.2757320550586048e-05,
27,amiss,,3.6824184933134036e-06,
28,par,,5.006117915588881e-05,
29,slaouis,,2.4916855978804005e-05,
30,potting,,5.507012031496227e-06,
31,inmates,0.2317488040005395,0.0006248604960866239,0.4416420304644726
32,marsha,,4.382551578292247e-05,
33,wound,,8.147167213151706e-05,0.9402942939469431
34,technique,,0.0001229341628508052,0.4608801330338222
35,incubated,,1.7333655582637694e-05,
36,factions,,1.4868363336755597e-05,
37,hm,,6.942171725415804e-05,
38,thr,,2.2956056491837956e-05,
39,stun,,6.714368665565417e-06,
40,karlanthony,,9.272844843365516e-06,
41,resurfaced,,1.7903257118267464e-05,
42,stainlesssteel,,1.5910693676777378e-06,
43,odors,,1.1903290129907701e-05,
44,new,0.24417668229055114,0.0099797758486526,0.12508667900675255
45,michele,,0.00012311826909504664,0.472308828857445
46,dodger,,1.2472569180973248e-05,
47,funerary,,5.849124503300534e-06,
48,corrects,,5.011628617892604e-06,
49,despicable,,1.3386620675210906e-05,
50,nathaniel,,1.985251583700999e-05,
51,drank,,5.299582746346487e-05,0.5723922874144275
52,approve,,0.000253252057397186,0.17748791082888654
53,middletown,,3.1209238917051545e-06,
54,competing,,0.00015977323393400364,0.9139855322624458
55,harry,0.36026798003151117,0.00043894377713417295,1.1110356184454038
56,punishing,,6.737747920755359e-05,0.8036659648118872
57,continuum,,1.778569431834568e-05,
58,utahns,,1.4813385618724363e-05,
59,nutritionally,,9.125723938696323e-06,
60,mccluskey,,6.000511441871989e-05,
