,term,controversy,tfidf,logodds
0,associated,,0.00024282515817025349,0.12674104543554093
1,nivel,,4.440937893138909e-05,
2,distancing,,0.0010595386350953815,1.107212591102331
3,eric,,0.0003077941462579382,
4,borders,,0.00045643232480890064,1.3664319323635559
5,christmas,,5.704250717804998e-05,
6,harbor,,0.00021171176662509084,
7,criteria,,0.00047986861142927325,0.9230810790631367
8,mentions,,7.022817447804084e-05,
9,messy,,5.613195562043665e-05,
10,conditioned,,5.6690794698622434e-05,
11,century,,0.0003185018437918486,
12,obnoxious,,5.875196538861562e-05,
13,informing,,0.00011127426414542833,
14,recover,,0.000997851548794363,0.3945558781977453
15,torn,,0.0001304963477787251,
16,kirk,,0.0001097658770462978,
17,illicit,,6.640430771653553e-05,
18,recipient,,0.00019320170865071455,
19,shortfalls,,5.785215902064847e-05,
20,spill,,0.0002211072260074022,
21,lied,,0.0005616081811635702,1.0582992494404844
22,save,0.2193656145010463,0.0016415448394766653,0.2696742271527058
23,couple,,0.00027179975567972326,
24,trump_admin,,0.0008079313894829293,1.4826968669985594
25,ella,,5.204428109660794e-05,
26,resigned,,9.81896550903058e-05,
27,cerca,,5.267701740710242e-05,
28,coronavirusflorida,,3.5874254219096324e-05,
29,devastation,,0.00022874757847391505,
30,mcconnells,,0.00017919745476368244,
31,files,,0.00018605372656097077,
32,denouncing,,7.312880554937873e-05,
33,sold,,0.00019328285643678377,
34,formula,,8.519263233795285e-05,
35,onair,,9.481134399671298e-05,
36,inspected,,3.3384671157993105e-05,
37,moderating,,0.0001025030374566974,
38,urban,,0.00029496092751901784,
39,2019ncov,,5.7906420565235406e-05,
40,suffering,,0.0008175671089855243,0.29611580538449295
41,prioritize,,0.0005633762143548342,0.006790347188981813
42,reflection,,0.0002333103754442889,
43,borrower,,0.00011736851895386136,
44,rainfall,,3.910905500768876e-05,
45,scheduled,,0.00035183662082344193,0.5322061535437052
46,provider,,0.00044172131696090604,0.006790347188981813
47,discourage,,4.835071067023205e-05,
48,consistently,,0.0003247011346051309,0.0015779024815347736
49,individuals,0.19640749596817644,0.0017823219207747168,0.07455529226497064
50,sparking,,3.908644039773476e-05,
51,posturing,,5.380921886412378e-05,
52,enrich,,0.00011712829851224313,
53,twentysecond,,8.042809957076085e-05,
54,internships,,3.9079868310237144e-05,
55,overturn,,0.0003029656045751082,
56,rides,,0.0001248909450740927,
57,gunnery,,3.7393104323264314e-05,
58,hoard,,6.598916829189073e-05,
59,weak,,0.0003328229339728659,
60,compared,,0.00015811170423801096,
61,efforts,0.14854553059808884,0.002913928703421417,0.36831829843858843
62,mantenido,,2.480016473846383e-05,
63,sow,,0.00015120580381817173,
64,cop,,6.905933233731048e-05,
65,destroying,,0.00035994449206678327,
66,hell,,0.0005826657166869214,0.5124035262475256
67,arrange,,5.3597380003622877e-05,
68,cases,0.12756880686977418,0.0020649951636070975,0.6867698173742797
69,invasion,,0.00021260221451820086,
70,crítico,,3.3078421149154204e-05,
71,presents,,0.0001874959727251851,
72,wpb,,6.393871614624074e-05,
73,localities,,0.00013373129319329521,
74,important,0.12197761728026851,0.005023867211356125,0.12357488051577592
