,term,controversy,tfidf,logodds
0,associated,,0.00012205775219277309,
1,borders,,0.0003351761427847939,
2,thrust,,3.048878035680824e-05,
3,defaced,,8.944508471775943e-05,
4,christmas,,6.203616964740164e-05,
5,harbor,,0.0007547464264501293,1.8033686859538411
6,criteria,,0.000474031130683697,
7,messy,,4.50158813107677e-05,
8,century,,0.0002620887379886351,
9,btwn,,8.150274005390927e-05,
10,informing,,3.351026240511244e-05,
11,recover,,0.00097442765756492,0.41220503005057485
12,torn,,0.00016109671505952857,
13,kirk,,9.113614223774798e-05,
14,recipient,,0.00018649932202502553,
15,trainwreck,,0.00031589317595159886,
16,lied,,0.0006572235260306074,0.7737492687726829
17,newfound,,3.719979492446618e-05,
18,save,,0.00152262983698135,0.31020586209545326
19,couple,,0.0004454577415218819,
20,devastation,,0.00021564283338603493,
21,mcconnells,,0.00021698360983440915,
22,denouncing,,0.0001575504999036256,
23,amersbach,,4.8594461508374664e-05,
24,sold,,0.00014576454761628795,
25,formula,,0.0003164409932291927,
26,ushering,,5.404020867500205e-05,
27,urban,,0.0003056365003546777,
28,livenow,,8.25610954363652e-05,
29,suffering,,0.0008469985410676972,
30,first_time,,0.0012386110191450366,0.35925475394512435
31,prioritize,,0.0006960896376935821,
32,reflection,,0.000173845010162093,
33,scheduled,,0.00048299018052602217,
34,provider,,0.00034819062393323875,
35,consistently,,0.0003421315221503769,
36,individuals,,0.0012129874461371838,0.07905049752131879
37,spearheaded,,9.89084396156051e-05,
38,twentysecond,,0.00015874551842174402,
39,overturn,,0.0002048430466731557,
40,weak,,0.0003294388147407962,
41,compared,,0.00019732793886480246,
42,efforts,0.19622589172681967,0.0030697285667792627,0.14082094820579227
43,sow,,0.00013519877052417442,
44,cop,,0.00010511429595479025,
45,destroying,,0.0005339698421843501,1.9575193657810994
46,hell,,0.0006585787127274968,
47,arrange,,6.212702632115612e-05,
48,cases,0.18894826022194822,0.0020522745703351803,0.06105749213976738
49,invasion,,0.00012933219769045443,
50,whitewashing,,3.818393361834098e-05,
51,hawaii,,4.875647402236617e-05,
52,hivaids,,7.147163068776282e-05,
53,presents,,0.00020146136863575455,
54,localities,,0.0003703894459301121,
55,important,0.13887508377821536,0.00657944800123658,0.4381277340317829
56,travel,,0.0016237296867349148,1.0256641173658327
57,selection,,0.0001970208324076564,
58,displeased,,4.916878701878256e-05,
59,monster,,0.00010427365030680534,
60,reaction,,0.0002017498760729448,
61,approved,,0.0008258405281129442,0.3739021529687421
62,displaced,,0.00015561569349431848,
63,spouses,,0.00044720313012218036,
64,overwhelmed,,0.0002508064611719897,
65,first,0.12260579883023041,0.0055826647319407955,0.06714622769734592
66,outages,,0.00014300775663939606,
67,nonexistent,,6.686464415670522e-05,
68,particularly,,0.000969345838775925,0.051614551339485365
69,bumper,,5.210595916880252e-05,
70,commanded,,5.9862655068545784e-05,
71,recall,,0.00017537737656351683,
72,attending,,0.0002973838313551331,
73,stem,,0.00032559787518188216,
74,brilliantly,,4.6095096479777555e-05,
75,donated,,0.0006277448767515884,1.5010878140809076
76,democracy,,0.0013388973824309364,
77,hyde,,0.00012319240751295285,
78,arrivals,,4.458467480931294e-05,
79,helping,,0.0020147634446672368,0.054530585778758765
80,cosponsor,,0.0008145036492088226,0.8870779540796863
81,journalist,,0.00013786574670801726,
82,alternatives,,9.947175009177063e-05,
83,true,,0.002001740460264484,0.28438788367499207
84,meetings,,0.00022628178140650688,
85,greatgrandfather,,5.010598912424657e-05,
86,persuaded,,4.810887683393744e-05,
