,term,controversy,tfidf,logodds
0,associated,,0.0003416808847060139,
1,distancing,,0.0010273359809029126,
2,eric,,0.0002981193220137137,
3,borders,,0.0004786274490418206,
4,christmas,,9.407294598247267e-05,
5,europe,,0.0003670810974292956,
6,harbor,,8.809260333633633e-05,
7,expands,,0.0002609472365882109,
8,criteria,,0.00027219330588823987,
9,discussions,,0.00026725914426266306,
10,sunscreen,,5.144830226119451e-05,
11,stepping,,0.0007432331171527376,
12,homes,,0.0010511149365404794,0.30876691547271684
13,conditioned,,6.19587386168921e-05,
14,toomey,,0.00023584084963725708,
15,fantastic,,0.00026513291312137946,
16,century,,0.00037000316971888233,
17,fest,,8.67729690191715e-05,
18,longoverdue,,0.00011636926332502114,
19,amongst,,5.456944580096352e-05,
20,illicit,,0.0001467435627196739,
21,deadline,0.24007394223939976,0.0032045973480360574,0.12644535867876242
22,recover,,0.0008552191534435172,0.45583922906937346
23,torn,,0.00015118113378606796,
24,helpline,,0.00012364872740193385,
25,recipient,,0.00012771799087060005,
26,rally,,0.00045302615923360084,
27,gap,,0.00036657480887578926,
28,lied,,0.00046205345421917933,
29,save,,0.0015179793608229852,0.2291178564072796
30,couple,,0.00035828587858716164,
31,campaigns,,0.00022056661262250947,
32,disinfecting,,0.00014357173551244728,
33,restricting,,7.486498044902876e-05,
34,630am,,0.00026594551460369523,
35,ella,,0.00014813751263032237,
36,george_floyd,,0.0016176575203983533,0.7771211121298148
37,three_hundred,0.20690934909671477,0.0029906277528933705,0.01944620008615227
38,degree,,0.00019371873665008008,
39,practices,,0.0011268673679049072,0.2551685336072221
40,dylan,,6.62106496410021e-05,
41,devastation,,0.00023941146667440255,
42,tonights,,0.0006327365969487399,
43,files,,0.00012898276589962666,
44,refuses,,0.00046091953853077093,
45,expires,,0.00011658032983955172,
46,sold,,0.00012977537281784408,
47,formula,,0.00014778368501552295,
48,construction,,0.00038946354569051263,
49,four,0.17052161167301166,0.0033035105050546677,0.36820176915356284
50,urban,,0.00034198716772848695,
51,suffering,,0.0008958839924915265,0.32149117653829484
52,julia,,0.00013240268676169444,
53,prioritize,,0.0004998317981513096,
54,reflection,,0.00022297685596162406,
55,borrower,,0.00041863122839069404,
56,scheduled,,0.0003575112260054341,
57,provider,,0.0005543640180493488,
58,discourage,,6.685681506674916e-05,
59,lawfully,,9.387979642778115e-05,
60,hcps,,6.600610543074998e-05,
61,consistently,,0.00013079066810134499,
62,wrote,,0.0010218897190064286,0.44445116145834057
63,university,,0.0007121560963939991,
64,individuals,,0.0018949944676697977,0.054986394696617216
65,double,,0.0004125116539595874,
66,twentysecond,,0.0003216888286109732,
67,overturn,,0.0003767445827360788,
68,french,,0.00015272246044756435,
69,weak,,0.00031315221144665524,
70,compared,,0.00016164492504892582,
71,weaponized,,6.653075442486934e-05,
72,diversion,,0.0001756272771890144,
73,efforts,0.2140893073521095,0.0036144365430251357,0.04989323612385837
74,cop,,9.116140725725706e-05,
75,whopping,,7.073552651249756e-05,
76,destroying,,0.0005643058558402323,
77,participate,,0.0012185068413587152,0.3591977690996088
78,hell,,0.00047805924121727963,
79,arrange,,7.855354154313654e-05,
80,cases,,0.0018621521130437978,0.609297130402347
81,yankee,,6.587770853987581e-05,
82,blackhistorymonth,,0.0006762577988152968,
83,invasion,,9.301681948312351e-05,
84,fairer,,0.0002026879491046666,
85,pricing,,6.983970805522278e-05,
86,prevail,,0.00013665287719949446,
87,pelosi,,0.0010312190121024517,1.1205869351076208
88,actual,,0.00036262561474615295,
89,presents,,0.0002128693761232952,
90,localities,,0.00013005784495761542,
91,happyfathersday,,0.00014791321852889057,
92,important,0.13052622774675335,0.005807484453747993,0.03844761194947975
93,weaken,,0.0003772259212602599,
94,travel,,0.0009853522387647802,0.2268647574443705
95,nursesweek,,7.90685227596819e-05,
96,levinson,,0.0001396965109312497,
97,approved,,0.0008734979891219669,0.14980801794939574
98,action,,0.0033305963044218817,0.3508317777875591
99,overwhelmed,,0.00019364924439595096,
100,first,0.13695969040653166,0.005376888098045993,0.025817637718678742
101,realizing,,0.0001658789296061092,
102,benefiting,,0.00022302129072609755,
103,particularly,,0.0008519710187833976,0.16034691035444368
104,revived,,0.00011220598242769046,
105,specialists,,0.00010140070480587043,
106,ministry,,8.718833794370748e-05,
107,opeds,,6.049311879479536e-05,
108,discredited,,5.942773907930577e-05,
109,preparation,,0.00018532093000990483,
110,attending,,0.0006408288232801946,1.0436258939714922
111,stem,,0.000546617624978502,
112,junior,,0.000192965339421358,
113,clinics,,0.00017625982761677032,
114,donated,,0.0003444474338007723,
115,tele,,0.00019061562688708634,
116,partner,,0.0005376636916790368,0.5511494088736981
117,democracy,,0.0018253264524234901,0.7481335752565628
118,respect,,0.0008764792945247621,0.3803316765612284
119,xfinity,,0.00018280782678985815,
120,commonsense,,0.0010516763674087628,1.0436258939714922
121,helping,0.12167205068106973,0.0027172476965031233,0.5904293830421381
122,vote,0.12250990392059093,0.007605351472851541,0.686337855988097
123,cosponsor,,0.0012616835060226413,
124,strengthens,,0.00011311327015940166,
125,stealing,,0.0001740283051735898,
126,philly,,0.004025012638436401,
127,flaws,,7.444764553961246e-05,
128,alternatives,,7.819526353338766e-05,
129,foundational,,0.00010500987738250425,
130,highrisk,,0.00011260441254135112,
131,aidan,,4.778261701143639e-05,
132,persecuted,,9.429666105795288e-05,
133,true,,0.0018250694787392378,0.3891884827832911
134,twentyfirst_century,,0.0005951724889088443,1.3118898805661718
135,meetings,,0.0003898350570535167,
136,fiftyseventh,,0.00016608329147340423,
137,slow_spread,,0.0016754714196435005,0.2551685336072221
138,broadband,,0.0008517965328041551,0.2991854190239966
139,hope,,0.0025595647632128387,0.1885177873211401
140,bail,,0.00026198199441267145,
141,donating,,0.0004659662469984875,
142,votes,,0.0009627057818816476,0.1892105658154246
143,fun,,0.00038493911664083566,
144,killing,,0.0006892764384960142,0.35047871341154696
145,happens,,0.0003131737771534585,
146,ordinary,,0.00014652359228157472,
147,pasmallbusiness,,0.00010873517207462386,
148,solomon,,0.00013932162793481214,
149,equally,,0.00019876126552923243,
150,plus,,0.00015300415224648838,
151,severe,,0.0006622996724214051,
152,supplied,,0.00017944783409634088,
153,birthdays,,6.465112917335486e-05,
154,shutdown,,0.000702267009882797,1.1177338661252143
155,explains,,0.00041611783287650054,
156,proud_stand,,0.0008109726858577831,0.8613043371775377
157,shops,,4.307028600226832e-05,
158,square,,0.00025014984362442376,
159,flyer,,8.528617757586109e-05,
160,sidelines,,0.00014617564722608204,
161,soleimanis,,0.00010889141292691277,
162,casting,,0.00019690318566191733,
163,peer,,7.587734368529677e-05,
164,fashion,,5.732649067654986e-05,
165,launches,,0.00017121518576394693,
166,inspector,,0.00015011559550747364,
167,pieces,,0.00026120851116130623,
168,suspended,,0.0003140775415696572,
169,invite,,0.00027347213525633123,
170,unhinged,,0.00017229465683090548,
171,worry,,0.0006002607665842805,
172,abroad,,0.00042238865964221877,
173,petty,,0.0003128165730125345,
174,winner,,0.0003199829916718779,
175,write,,0.0004165267091325257,
176,reject,,0.0003782171202285747,
177,twentyseven,,0.0006918048387074679,
178,proact,,0.00041674711617020207,
179,adequate,,0.00017168774866639972,
180,buying,,0.00020946712453512588,
181,unfold,,0.0001116843606484536,
182,click,,0.001955404954146953,0.8204823426572826
183,paycheck_protection,0.13777585098276957,0.002900288222574219,1.4125334063458592
184,details,,0.001954442427901204,0.01989507488534743
185,fees,,0.00019336310267283803,
186,removal,,0.0001430183041125991,
187,distributed,,0.0004045060332771455,
188,beside,,9.949305285038805e-05,
189,respirators,,5.947093231923798e-05,
190,agrees,,0.0001517233053842378,
191,paycheckprotection,,0.00023031320865063844,
192,impartial,,0.00014572608064937208,
193,dictator,,0.0001320190204413323,
194,article,,0.0007323934354984581,
195,became,,0.0005274615136046357,
196,time,0.13778196577706128,0.008238490474764397,0.08720632113834276
197,makes,,0.001534121203985164,0.902284255083821
198,sent_letter,,0.0006693802174643552,0.4730810355038794
199,fraudulent,,0.00022681012323208668,
200,expert,,0.00039423633590932375,
201,politicize,,0.00021637300529185898,
202,backlogs,,5.5575300484595846e-05,
203,kerry,,7.015771186886743e-05,
204,wealthy,,0.0003020369018849796,
205,aided,,0.00010775874060686097,
206,invitations,,0.00010919899818980235,
207,roger,,0.00010949974332830184,
208,simple,,0.0011456525307156772,0.18140238336761294
209,preview,,0.0004188700732359105,
210,sheriff,,0.0001635668470337112,
211,awaiting,,0.0001881781752596518,
