,term,controversy,tfidf,logodds
0,commanding,,0.0017426501528506214,
1,borrows,,0.00027337570016294267,
2,liberian,,0.0001308560232203561,
3,unaffected,,0.0007403957218230372,
4,fonts,,0.00015280159253519925,
5,cumberland,,0.00030263100701714347,
6,rabinowitz,,0.00014364181820672396,
7,summertime,,0.00041280806019276936,
8,owls,,7.303833091866762e-05,
9,horne,,9.921323516934817e-05,
10,vegan,,0.0008651820862996476,
11,immunecompromised,,0.00016721111411067225,
12,rolle,,0.0008103951071415853,
13,straightens,,8.355149625130864e-05,
14,warmest,,0.00019925271169699755,
15,duplicated,,0.00018659601296904858,
16,unmitigated,,0.00024272108687565017,
17,bikers,,0.0006008989822193848,
18,smiles,,0.000982621657597805,
19,descent,,0.001100155297023063,
20,undermined,,0.000488938640844286,
21,gaynor,,0.0009052220908823472,
22,sixtytwo,,0.00015826069265106678,
23,damagerecovery,,8.196139718565243e-05,
24,bails,,0.0008820895101427266,
25,chaplains,,0.0003263628496651237,
26,antivaccine,,0.00036531158702170945,
27,slowest,,0.0003656264022484545,
28,revamped,,0.00017319225280850288,
29,adept,,0.00023608052854235903,
30,heartbreaking,,0.00147003564397473,
31,heartache,,0.0003995110272555952,
32,tbs,,0.0002715051140454807,
33,profanitylaced,,0.0002690915963519046,
34,zafar,,6.524872275547526e-05,
35,contemplate,,0.0006173949348293407,
36,gel,,0.0006670343633450794,
37,creatures,,0.0007589417663301371,
38,nolte,,0.0018102948027028578,
39,huffpost,,0.0003911128410925692,
40,johan,,0.0002428122272583936,
41,unpunished,,0.00017315677496401122,
42,speaker,0.08994160290519354,0.020212989439394733,0.48628209743224987
43,q1,,0.00011140371929433754,
44,nascent,,0.0001241603054680571,
45,maas,,0.00011864584888796548,
46,fared,,0.0003611953502518667,
47,gently,,0.00024152861970747497,
48,cluster,,0.0021391378764649025,
49,quipped,,0.0009807038154264083,
50,manifest,,0.0004339693154750098,
51,zeldin,,0.0006018631479028432,
52,cholera,,0.001159638409708766,
53,dispensable,,0.00014889214044178106,
54,church,0.13477162999143713,0.019484349683305965,0.5473053796041416
55,champing,,0.0001590988485896484,
56,bangs,,0.0002615167529191337,
57,bottling,,0.0001942956331615731,
58,buys,,0.0008033722279510794,
59,ascertained,,0.00010633565450215239,
60,newkirk,,0.00010845638446419296,
61,shocks,,0.0005338044020953414,
62,gaga,,0.0023571351577316903,
63,addons,,0.00033885521229046325,
64,brito,,0.00019952915888894583,
65,chimney,,0.00017000788103811444,
66,obama,0.09785328769316404,0.019308877848596223,0.23508327386043762
67,kn95,,0.0008386028991353479,
68,highlevel,,0.0007716807788923265,
69,bystander,,0.0002667147532211106,
70,todayipsos,,0.00020621445675548665,
71,retake,,0.00047669179407748623,
72,elliotts,,0.0002813719725515215,
73,erie,,0.00045839647055352726,
74,destroys,,0.00031619915652502886,
75,shifty,,4.474789445108645e-05,
76,médecins,,5.939065867258548e-05,
77,muzzle,,4.2299434448666586e-05,
78,spook,,9.667837523298428e-05,
79,opioids,,0.00021798392134786664,
80,indulge,,0.00021244532202820254,
81,downsizing,,0.00021248846157407572,
82,missing,0.20097855373753348,0.005377773772083238,0.9394146965307503
83,incredible,0.14234673955130953,0.006114422171727767,0.17798831314653005
84,magna,,0.00014388348642742344,
85,biosafety,,0.0007959247763626196,
86,cry,,0.0019711350866006014,
87,strategist,,0.001848318815173764,
88,planes,,0.004028091142233041,
89,formal,,0.0024680367039849093,
90,malatras,,0.0001304294029313621,
91,locks,,0.0008356771630270972,
92,rudder,,0.00011397297801101752,
93,candidates,0.12048908924407115,0.007638129455768659,0.24503715787257366
94,evacuees,,0.0025823029720198265,
95,buttigiegs,,0.00014054519741559099,
96,triangle,,0.00031096981371226415,
97,mount,,0.003317392580453906,
98,richter,,5.472052967965652e-05,
99,crosscountry,,0.00027958455519129955,
100,sneaky,,0.00016523176304897657,
101,contractorrun,,5.422676046167458e-05,
102,corey,,0.0006452143613433757,
103,wavelength,,0.00020042898473497645,
104,befall,,6.382817395398361e-05,
105,stefani,,0.0007167803462047764,
106,scientists,0.14648046179192098,0.012790655499749351,0.06687139656666369
107,relieved,,0.0011650339732371517,
108,alitalia,,0.00029073254157882663,
109,fc,,0.0007645599809446462,
110,nominated,,0.0015022792580100218,
111,jealousy,,0.00014302192207096945,
112,gaggle,,0.00029574569538841616,
113,adversaries,,0.0009480944129661573,
114,protestants,,0.00011854609721176529,
115,nicer,,0.00022106362584328458,
116,weight,,0.0035856188246974107,
117,confusing,,0.0015835122323761843,
118,andres,,0.0015041836303229844,
119,wind,,0.0036600050312114328,
120,raab,,0.0022699896797359212,
121,cushion,,0.0005528124391024497,
122,eyad,,0.000222576336700515,
123,janssen,,6.0442562694979216e-05,
124,preregistered,,8.260271350995207e-05,
125,hallengren,,8.857051328086879e-05,
126,counties,0.12048237772247168,0.00979554348476618,0.3320902620559419
127,cruces,,0.00023451863437373466,
128,businessmen,,0.00037519927520413004,
129,fiji,,0.00022866033665112678,
130,telecommunication,,0.00011146839275058895,
131,apostolic,,0.00036292876493212057,
132,entering,0.1355576686712522,0.007040369226574529,0.33869738059455556
133,coupled,,0.0017399214330140894,
134,maines,,0.0002825455771051418,
135,counternarcotics,,0.00026636361410606937,
136,mccully,,5.652924943190494e-05,
137,crudely,,6.032272551793672e-05,
138,united,0.09152695708438707,0.04430188432121359,0.663279258869523
139,onechild,,0.00011902880069826464,
140,admiralty,,6.665200905952379e-05,
141,spokes,,0.00011654737481740278,
142,securities,,0.001963781518537088,
143,dispensation,,7.500927124439127e-05,
144,zac,,0.0005817414777715792,
145,sin,,0.0010564724650857548,
146,story,0.2163785422961037,0.023568162073049168,0.302064258535167
147,impacting,,0.0021134796368714845,
148,inoculated,,0.00019119772510278838,
149,marketwatch,,0.0005598994643165735,
150,apparently,0.08954736449385543,0.006628706204288119,0.08423527955326231
151,repaid,,0.00030406607453668333,
152,cautiously,,0.001328643263549361,
153,freed,,0.002523139057336155,
154,shinzo,,0.0008038409058651263,
155,bags,,0.0037251334331892243,0.1536389259887185
156,dwv,,0.00025346186815971926,
157,threeday,,0.0016259038435887986,
158,caliphate,,0.00016734013941752953,
159,illegals,,0.0009386980894484243,
160,inhaler,,0.0005394672788324951,
161,nearrecord,,4.589474336426059e-05,
162,fortynine,,0.00035265274700929043,
163,ellie,,0.00018898749908026228,
164,unquote,,0.00028785422463207654,
165,bader,,0.0006545043958208353,
166,talkin,,0.0001516889740583269,
167,inspections,,0.00043240906793282346,
168,cvn,,0.00010121155197670911,
169,handwashing,,0.0019479455778764684,
170,popularized,,0.00011398644223558385,
171,vicious,,0.001062077407181233,
172,seventyfour,,0.00010463235832419413,
173,discrepancy,,0.0007897067392670048,
174,canavan,,0.0003609484093234724,
175,naomi,,0.0009182388001199497,
176,memorandum,,0.000516873284175022,
177,interferon,,0.0005207034270588697,
178,ironton,,0.00011397297801101752,
179,communion,,0.0013183373149888407,
180,doubt,0.17557815473666205,0.00646333418913842,0.02733401293394265
181,btw,,0.0001932557295751946,
182,xis,,0.0014676445617023165,
183,fundamentals,,0.00043667896994489585,
184,copays,,0.00045760897328412856,
185,tania,,0.00022191681083867827,
186,chengdu,,0.000497679072210964,
187,canvass,,8.200759217084196e-05,
188,trending,,0.0015745072774748133,
189,undetected,,0.001113851369593339,
190,dragon,,0.000945464184099703,
191,safe,0.13445565204314328,0.023972331184968325,0.09905402262838783
192,hal,,0.00045833496506557283,
193,writein,,0.00026575169650634045,
194,jerri,,0.0004771420266043597,
195,inbetween,,0.00011260437431582216,
196,thendirector,,0.00028361007040512406,
197,stare,,0.0003307202421722695,
198,camera,,0.004466504663668653,0.3742273816937483
199,stipe,,0.0003706330579091497,
200,reboots,,0.00011068326683112363,
201,date,0.16665493436532713,0.01426152558222367,0.23168118461877912
202,ocasio,,8.924766253619504e-05,
203,ministrys,,0.0007710070403271839,
204,lambaste,,0.00017992582822587598,
205,vfw,,0.0002942852471643138,
206,freemarket,,0.0005936046248028616,
207,decedent,,0.00016280211684988866,
208,waxes,,7.244096885098023e-05,
209,cruelty,,0.0008595838400084783,
210,preclude,,0.000547099295299331,
211,construct,,0.0006563476854680278,
212,threatened,0.10916759255429458,0.006106636238075273,0.389424854654061
213,wimp,,0.00014274090554423452,
214,fifthbiggest,,5.868478349402211e-05,
215,devoted,,0.0016857976878794619,
216,steyer,,0.0008492784811785393,
217,obscenity,,0.00026870854851759136,
218,albert,,0.0018486036928065837,
219,spawn,,0.00010406208012569612,
220,bestcase,,0.0008447242291794435,
