,term,controversy,tfidf,logodds
0,congressman,,0.07166352142779817,
1,compel,,0.05142640126902423,
2,combat,,0.126525491066208,
3,express,,0.08486599682830243,
4,onboard,,0.025090201341484642,
5,driven,,0.09654412194947988,
6,rubber,,0.03077648330419457,
7,subway,,0.20229687919758188,
8,vermont,,0.11722322580697561,
9,birth,,0.07554456479021919,
10,alex,,0.04218005568888029,
11,factor,,0.06350942893421854,
12,spell,,0.025090201341484642,
13,quarter,,0.13215035116768653,
14,aircraft,,0.09247758091077751,
15,scenario,,0.09523125140392799,
16,web,,0.04568019295931138,
17,type,,0.11822003638569592,
18,third,,0.21158090921712835,
19,assign,,0.04706380982373048,
20,staff,,0.18056030072401485,
21,theyd,,0.040022828884338515,
22,threaten,,0.15368419581344547,
23,brown,,0.10013825642001362,
24,thick,,0.025090201341484642,
25,perform,,0.06614546461965827,
26,northam,,0.035660237439044756,
27,overrun,,0.035660237439044756,
28,vid,,0.058302757176419896,
29,wonder,,0.12786040824940012,
30,reopen,0.20083280759156838,0.33873785601746276,
31,attack,0.17860750027805683,0.28231537866712414,
32,context,,0.07721069414604181,
33,student,,0.16915617067128633,
34,leak,,0.08728392383830466,
35,formal,,0.03077648330419457,
36,cove,,0.10342162911660449,
37,proven,,0.05142640126902423,
38,covid,,0.411617000166098,
39,behind,,0.22111790164699313,
40,character,,0.025090201341484642,
41,shot,,0.1812882809864665,
42,host,,0.12506633612867196,
43,bret,,0.0701243380794708,
44,argument,,0.09088510776630934,
45,belgium,,0.06517504714435489,
46,journal,,0.18134587043070988,
47,discredit,,0.035660237439044756,
48,franklin,,0.03649377372617036,
49,made,0.17617878742078047,0.2645647484873712,
50,activist,,0.15523862836137442,
51,follow,,0.1667079175267617,
52,melt,,0.05083441043526262,
53,weaken,,0.04766411880876299,
54,apart,,0.1754717076945997,
55,dock,,0.058302757176419896,
56,ison,,0.03649377372617036,
57,phone,,0.16728680039748786,
58,chaotic,,0.05652069239797255,
59,grown,,0.05708167477246828,
60,cancel,,0.17223521738817646,
61,deadliest,,0.0705607934809931,
62,home,,0.24967014622841066,0.32891128652132023
63,fine,,0.15040064954256563,
64,globe,,0.13742235339288147,
65,safe,,0.27428880052976873,
66,lee,,0.1099155826648304,
67,protocol,,0.05272852177130702,
68,campaign,0.1714247781835631,0.3854218994811174,0.2582594145784568
69,zero,0.18243943858562509,0.32699111694904365,
70,grew,,0.06730507773415323,
71,patron,,0.03649377372617036,
72,halt,,0.14852936593063087,
73,reader,,0.04570911084704844,
74,canada,,0.12705839338440134,
75,pride,,0.04568019295931138,
76,plate,,0.03077648330419457,
77,easter,,0.1505953363565402,
78,economist,,0.07941011831521547,
79,staffer,,0.11755591680958188,
80,youth,,0.08101884234316098,
81,girl,,0.05911307180943862,
82,dictatorship,,0.07143357143502702,
83,popular,,0.07233447579926941,
84,afloat,,0.025090201341484642,
85,ocean,,0.0562502290568715,
86,cruel,,0.04706380982373048,
87,caught,,0.11681556188742323,
88,success,,0.1438542481267716,
89,sheer,,0.025090201341484642,
90,afghanistan,,0.18060204174634958,
91,planet,,0.08199156096672211,
92,brain,,0.062377741192053485,
93,find,,0.19307558308156403,
94,incident,,0.07885123393780576,
95,overturn,,0.03649377372617036,
96,dont,0.2041277013320597,0.2694518719865491,1.701661471546455
97,bill,0.18187956922794957,0.35876360766418053,0.05896707908642665
98,hill,,0.16815747039875104,
99,withdraw,,0.053426789846728696,
100,resign,,0.06399682594428882,
101,tha,,0.025090201341484642,
102,whitmer,,0.1557163142115644,
103,fist,,0.03077648330419457,
104,deposit,,0.03077648330419457,
105,border,0.20301591389932425,0.30876493886511946,
106,request,,0.16690943300313382,
107,draw,,0.07233447579926941,
108,standard,,0.13844328838547718,
109,grow,,0.10883540323586935,
110,system,0.18831529531890895,0.2903126625001387,0.17560516805140577
111,poor,,0.1903327947151947,
112,bike,,0.05906769119344871,
113,base,,0.2108601709392332,
114,plead,,0.03077648330419457,
115,burst,,0.04706380982373048,
116,tell,,0.2600965803612829,
117,fail,,0.16195680318216832,
118,connected,,0.025090201341484642,
119,bullet,,0.03077648330419457,
120,wider,,0.035660237439044756,
121,ride,,0.040022828884338515,
122,graphic,,0.04218005568888029,
123,troop,,0.035660237439044756,
124,bank,,0.184427889392383,
125,suggest,,0.1883820192208137,
126,twitter,,0.2333652850926526,
127,fewer,,0.149890621658401,
128,problem,,0.1999463749359585,
129,shatter,,0.03077648330419457,
130,father,,0.12328888491876037,
131,broadcast,,0.14623927354748856,
132,speech,,0.20334505838578554,
133,french,,0.12175939318415999,
134,veteran,,0.10545935020427077,
135,abbott,,0.11799922284196798,
136,western,,0.10185003763780279,
137,drastic,,0.040022828884338515,
138,continent,,0.11399166521416461,
