,term,controversy,tfidf,logodds
0,national,0.18493236685699097,0.23010716640193896,0.16616824517208245
1,units,,0.07702702558310807,
2,enhanced,,0.02813546926451349,
3,compel,,0.028699476353371025,
4,indicate,,0.060642769287460166,
5,grieving,,0.017306111353503007,
6,distanced,,0.055997933360091165,
7,driven,,0.09176301730678747,
8,airports,,0.09226365381780186,
9,weekly,,0.06781797279869599,
10,rubber,,0.02813434578076715,
11,vermont,,0.16225007673680084,
12,birth,,0.10623047481650706,
13,diagnosis,,0.05046663154098818,
14,stations,,0.11200472514913137,
15,alex,,0.05773301695031259,
16,cats,,0.017366181633606606,
17,overcome,,0.04738847137347631,
18,charities,,0.028717679288557518,
19,kennedy,,0.026981556029440582,
20,ravages,,0.028136454011607685,
21,spell,,0.03664252603189293,
22,quarter,,0.1534847935801151,
23,aircraft,,0.11369278895012364,
24,milan,,0.060642769287460166,
25,airlines,,0.1749346844791281,
26,sorry,,0.14581877622912964,
27,brown,,0.07946058956358859,
28,threaten,,0.08123276090528692,
29,taylors,,0.034602067773566635,
30,pences,,0.02872016150699204,
31,sample,,0.017296941017466545,
32,timetable,,0.02869950220981305,
33,posts,,0.06565838824594815,
34,accountable,,0.0964142355156136,
35,losing,,0.11075143618705335,
36,overrun,,0.017331296205320326,
37,vid,,0.07217279099541474,
38,wonder,,0.05352386969640473,
39,criticized,,0.10952860251226729,
40,judges,,0.10677639120491034,
41,applications,,0.13221435489122582,
42,reopen,0.1798466128446538,0.3380569060229465,
43,context,,0.04383922526476815,
44,student,,0.15537537738606114,
45,military,0.16593913575138752,0.2162736443667233,
46,reopening,0.16745983051801425,0.35665755345046113,
47,overcrowded,,0.09850045438600931,
48,particles,,0.036651102856125904,
49,shooting,,0.20509263753224533,
50,gps,,0.0301107703399775,
51,hopes,,0.09293780682366723,
52,doomed,,0.017297690238026037,
53,proven,,0.03601191197589267,
54,surfaces,,0.050159910896147394,
55,relaxing,,0.06252221937630159,
56,endorsements,,0.04758643742537128,
57,character,,0.02813522187069753,
58,stockpiling,,0.041514342724663214,
59,venues,,0.02872441531795384,
60,host,,0.11498875184736126,
61,90s,,0.05844735884522155,
62,bret,,0.05844735884522155,
63,argument,,0.028748672290793028,
64,shouldertoshoulder,,0.055776908952934884,
65,fifty-eight,,0.041514342724663214,
66,dinners,,0.02813245226000344,
67,announcements,,0.01756288035142056,
68,citation,,0.02813505306295872,
69,misinformation,,0.06238625002153644,
70,attacks,,0.15197937980617676,
71,combination,,0.04306632228571098,
72,marylands,,0.03896023516047949,
73,journal,,0.19392207310819254,
74,made,0.16753520003880376,0.21232896272528193,
75,parks,,0.2085644319137684,
76,follow,,0.11634710317965793,
77,hanks,,0.0301107703399775,
78,dock,,0.08487619609088495,
79,sanitation,,0.11016246726069526,
80,phone,,0.1693139957185536,
81,chaotic,,0.058434984466715606,
82,newborn,,0.0464068023340059,
83,cancel,,0.09793530686425997,
84,solo,,0.017295929825127333,
85,impacts,,0.06498036775816267,
86,barrage,,0.055776908952934884,
87,diabetes,,0.06119529123728322,
88,upstate,,0.044118988957134245,
89,thermometers,,0.02813302940316748,
90,owned,,0.13583229182104692,
91,safe,,0.17972757343075432,
92,letters,,0.057724346559960935,
93,minutes,,0.16272647689810754,
94,koba,,0.03896023516047949,
95,protocol,,0.026981460454578284,
96,zero,,0.27686954295802435,
97,halt,,0.12125472902203048,
98,canada,,0.12724945690541029,
99,addressed,,0.10873862750669192,
100,surgical,,0.11877570533666584,
101,easter,,0.2045872973026197,
102,important,,0.18198894429129409,
103,youth,,0.11191089180513462,
104,girl,,0.0818834119983679,
105,projecting,,0.036422688924327054,
106,dressed,,0.028733019665388073,
107,marie,,0.04634565558398,
108,litigation,,0.0301107703399775,
109,ocean,,0.06691083273745951,
110,cruel,,0.0287128539408805,
111,walks,,0.017311865820522715,
112,success,,0.09263773700815299,
113,sheer,,0.04981775599767821,
114,afghanistan,,0.18205290363481097,
115,brain,,0.046212659969189,
116,refrain,,0.0301107703399775,
117,stockpile,,0.14315755707385894,
118,consequence,,0.050700761957804236,
119,totally,,0.05464664864068389,
120,applies,,0.017294345740770507,
121,unfinished,,0.01729839953238023,
122,peters,,0.06135220280750665,
123,folks,,0.09279205862489712,
124,avoiding,,0.04541137912650355,
125,mosque,,0.028699348163686612,
126,withdraw,,0.05647120056624978,
127,piece,,0.07027430151037173,
128,fist,,0.028135724305742613,
129,tha,,0.017295775779000894,
130,confederate,,0.08152111804671286,
131,publica,,0.01731065237902104,
132,request,,0.11550494635519523,
133,disappeared,,0.05598225080345828,
134,queens,,0.051654486779727164,
135,hungry,,0.09451232385252759,
136,advise,,0.0395394271904965,
137,catching,,0.05722256576184025,
138,returned,,0.09742906721385139,
139,bbc,,0.050700761957804236,
140,poor,,0.12987787600036088,
141,distribution,,0.025031276625756268,
142,clinical,,0.11581452596720464,
143,equation,,0.04633259222192985,
144,legitimate,,0.04294383964645619,
145,roughly,,0.0708470699094656,
146,cells,,0.057723668603229986,
147,rentals,,0.0301107703399775,
148,cry,,0.06133347052148318,
149,injuring,,0.03458225400690894,
150,forgivable,,0.06974698757382769,
151,concluding,,0.0301107703399775,
152,bullet,,0.03182617710930449,
153,violate,,0.050523012173282866,
154,ride,,0.04468816792915636,
155,devastating,,0.14643127519328009,
156,called,0.19157779972651479,0.19608150839968985,0.4438999867706952
157,easy,,0.12181578179399452,
158,suggest,,0.07976117022208817,
159,twitter,,0.15464867577433325,
160,fewer,,0.12192780486544198,
161,problem,,0.12279112519410815,
162,liabilities,,0.017295903968685307,
163,sharply,,0.01731268181838997,
164,father,,0.16461042875417442,
165,filling,,0.04387904775585767,
166,responded,,0.179070632933154,
167,sutton,,0.07019561614284775,
168,vendors,,0.01729744421704724,
169,moses,,0.0301107703399775,
170,broadcast,,0.1962630573445499,
171,designer,,0.017307686364037442,
172,contrary,,0.041514342724663214,
173,stockholm,,0.041514342724663214,
174,heights,,0.028699791555711916,
175,western,,0.13240528749726824,
176,louvre,,0.028150948235819505,
177,either,,0.11382717662563197,
178,continent,,0.11497520702803847,
179,broad,,0.07461980465115704,
180,drastic,,0.080347009992135,
181,pinned,,0.03897925492725754,
182,probing,,0.0301107703399775,
183,wave,,0.1989851343401442,
184,pharmacies,,0.1440737874207165,
185,confession,,0.026983981566571225,
186,reporters,,0.18151419260877946,
187,everybody,,0.15631782140412132,
188,region,0.18361577108783117,0.18346145945610876,
189,kind,,0.14023902342973413,
190,wouldnt,,0.04903370106875621,
191,ramping,,0.07833605693702754,
192,creating,,0.15651895298652824,
193,maintaining,,0.026170511705254865,
194,afternoon,,0.08391558119672429,
195,restrictions,0.1979998463875191,0.22790889070966194,
196,joined,0.19412702142404767,0.19588426195728884,
197,francis,,0.1005757991380678,
