,term,controversy,tfidf,logodds
0,touchdown,,6.331933529383254e-05,
1,national,,0.0,0.04355831992687556
2,kelvin,,2.262394446730277e-05,
3,leverage,,1.4331769637462438e-05,1.2946500096033968
4,chickens,,4.253582402217888e-05,
5,steven_mnuchin,,0.00011047724982531725,
6,judea,,2.5829888508369607e-05,
7,cle,,1.2502342766337466e-05,
8,confront,,1.665864286811369e-05,0.764799697692538
9,quadrant,,7.3094678217934184e-06,
10,airports,,4.1783143192667355e-05,0.27957632411113875
11,laurence,,1.7878724881328675e-05,
12,inventor,,3.412276451058575e-05,
13,birth,,1.9705154691989316e-05,0.008052185000451833
14,reduce_risk,,0.00013379139965202035,
15,stimulus_checks,,0.00042329898686941606,1.381333613720818
16,taxseason,,1.576509272455443e-05,
17,technocrats,,1.0734811161895018e-05,
18,hairs,,1.4957887572127272e-05,
19,mature,,3.341340759069274e-05,
20,invited,,6.806151716768997e-06,0.0922487439979548
21,showhorse,,7.391238691357909e-06,
22,aac,,2.0886821390274597e-05,
23,curt,,6.318200423985809e-05,
24,retention,,5.468241449785861e-05,
25,gennady,,1.5442113626178916e-05,
26,incompetents,,8.783931479773313e-06,
27,cloth_face,0.19173414481152656,0.00025383303132070733,0.14276606255701274
28,overrun,,4.475192590426304e-05,
29,thunderbirds,,7.745027994097311e-05,
30,accurately,,3.3256609357102735e-05,
31,laziness,,1.032997635142438e-05,
32,forgivable_loans,0.2674475398096686,0.00028835406978429954,0.9510049807164409
33,muscles,,1.9148877354128198e-05,
34,sands,,2.7749906561754622e-05,
35,covidrelief,,3.2159210852983173e-05,
36,nonstop,,3.068848827598555e-05,
37,knoblock,,2.6516124721971278e-05,
38,student,,0.0,0.4094754176086841
39,westpoint_usma,,1.0307555130372951e-05,
40,transgressions,,2.372231177595812e-05,
41,tiresome,,1.5174718119219404e-05,
42,particles,,1.667752722615129e-05,
43,breathable,,1.210645218530195e-05,
44,darkmoney,,3.8277354005113377e-05,
45,gps,,3.9579431329252786e-05,
46,sparks,,2.814651239470996e-05,
47,probative,,8.731950008995035e-06,
48,regrets,,4.349241825876873e-05,
49,easterathome,,7.78078418200045e-06,
50,venues,,7.391699643499496e-05,0.008613079283490612
51,realdonaltrump,,6.7974413335302115e-06,
52,gerrymander,,1.9614461944237273e-05,
53,seventyfourth,,2.1724407608226262e-05,
54,empieza,,1.1445353830931363e-05,
55,proprietary,,3.682193543536662e-05,
56,felicidades,,3.45448247237196e-05,
57,nurture,,2.017794646454682e-05,
58,overlords,,2.0906401489070867e-05,
59,broadbased,,1.276765705683116e-05,
60,aspired,,1.6423175868229473e-05,
61,belittling,,2.024482819717541e-05,
62,rebuild,,1.4547954026368986e-05,0.3730319095376095
63,amelia,,4.0548126711611566e-05,
64,behnken,,6.462094714789522e-05,
65,walterreed,,8.353712609817942e-06,
66,article,,0.0,0.7120052191086801
67,gnb,,5.0742904719263613e-05,
68,impacts,,0.0,0.42170798604431825
69,stomachs,,1.6805525777357137e-05,
70,statecounty,,8.277313744021649e-06,
71,stain,,3.946804516943289e-05,
72,fedl,,2.3989500392663866e-05,
73,spectacular,,3.827022175248368e-05,
74,safe,,0.0,0.14304271951118996
75,cory_wilson,,0.00010871740316932729,
76,tonights_sotu,,0.0004658161300599863,0.02233255162626497
77,adjusted,,3.496423684310436e-05,
78,days_election,,0.0002529254171273219,
79,hickory,,2.648586088298983e-05,
80,chill,,2.92248858672058e-05,
81,shepard,,2.5047701488245522e-05,
82,cube,,9.32499268659035e-06,
83,emitter,,1.4394844096452313e-05,
84,marcado,,7.836601050941483e-06,
85,jacky,,1.6032732389051154e-05,
86,ryans,,2.0709178387721893e-05,
87,house_judiciary,,0.000356456067319344,0.27500769904992334
88,lid,,2.343402720302914e-05,
89,sufficiency,,1.6244692677463038e-05,
90,economist,,4.130608303029675e-05,
91,abrogate,,6.71185157670943e-06,
92,quincy,,4.2427656786620484e-05,
93,spotlights,,1.7512361548663442e-05,
94,writein,,8.962054379231227e-06,
95,restroom,,2.092856493737447e-05,
96,edges,,2.5788291215478494e-05,
97,goodgovernment,,1.0606807766714685e-05,
98,ifis,,7.168652758774263e-06,
99,javier,,5.727220172930633e-05,
100,sealing,,7.533815752425943e-06,
101,canalway,,8.48611862539167e-06,
102,thrash,,7.529875898170474e-06,
103,mozambique,,2.5681091822271168e-05,
104,jun,,3.335856925457946e-05,
105,overturn,,5.8302548921674837e-05,0.9808560471236929
106,日本語,,1.6512871489880732e-05,
107,laptops,,3.5448246581943595e-05,
108,nydia,,2.057773500933435e-05,
109,applies,,3.6864418518039904e-05,0.03367312433387553
110,oppo,,3.104167866427805e-05,
111,cubanos,,2.1248034260728054e-05,
112,threekingsday,,5.5950499511514824e-05,
113,dropoff,,4.655835949929541e-05,
114,fist,,4.398864309530564e-05,
115,recapping,,2.4029969591059862e-05,
116,seaman,,2.8700168118886637e-05,
117,householder,,1.817027969544339e-05,
118,request,,0.0,0.052335594582178596
119,disappeared,,2.9180479891774006e-05,
120,lena,,1.1606723883908535e-05,
121,advise,,2.931375668545899e-05,
122,maneras,,1.4471138666156263e-05,
123,weakens,,4.238013510401257e-05,
124,navies,,6.465348081782916e-06,
125,returned,,0.0,0.45799837597590215
126,lendermatch,,3.76276643634897e-05,
127,mahatma,,1.4833720461348375e-05,
128,distribution,,3.15835234246458e-05,0.12243758073513102
129,pido,,2.0898184366881247e-05,
130,ela,,6.965926142086074e-06,
131,cry,,4.2046194633819976e-05,0.09784010413441026
132,ppploans,,0.00025117429529441544,1.8982001727798956
133,voter_fraud,,0.00023530226333342148,
134,forgivable,0.29121172881951213,0.00010982822320782933,1.176406801834526
135,rationality,,5.630280980736969e-06,
136,bullet,,4.120994779043263e-05,
137,1800redcross,,2.2810937003540984e-05,
138,medalist,,3.145468716074744e-05,
139,nttw20,,1.9155689985530627e-05,
140,garrison,,2.990217601988292e-05,
141,twitter,,0.0,0.5615402139547175
142,fewer,,9.984167856934808e-06,0.09343282886896977
143,voc,,1.362218505844572e-05,
144,envelope,,6.542775293821276e-05,
145,problem,,0.0,0.1546871805717054
146,cristobal,,0.00018383444894456172,
147,father,,0.0,0.404591727503112
148,filling,,4.716391284957912e-06,0.627618376394876
149,judiciary,,5.033523997727097e-05,0.5859093139667638
150,moses,,2.989466515078686e-05,
151,husbands,,3.639885752015533e-05,
152,ministro,,8.651674514052465e-06,
153,volunteering,,3.441399091757688e-05,0.32106976792686115
154,endangeredspeciesact,,1.8439617412176795e-05,
155,either,,0.0,0.093696097615225
156,imhe,,1.649476784107472e-05,
157,dirigida,,1.7058574202548016e-05,
158,internationalfirefightersday,,0.00015859355228239506,
159,andrewgillum,,7.491335874186973e-06,
160,wave,,6.423147032069091e-06,0.2124394376428687
161,walkout,,4.265524941374223e-05,
162,peteralexander,,1.036044151453035e-05,
163,perishing,,7.75603558924331e-06,
164,yknow,,8.380630230776306e-06,
165,ageappropriate,,1.580130194321501e-05,
166,festive,,3.487402669450994e-05,
167,feature,,1.2513754039671586e-05,0.2877088665637476
168,galvanize,,2.316590208921099e-05,
169,landry,,1.8524920431740063e-05,
170,junemedical,,2.1239813241676594e-05,
171,cbc,,2.7616545146273888e-05,
172,ayiti,,1.465683417369128e-05,
173,votingforbernie,,1.305429734917603e-05,
174,francis,,3.58591812809045e-05,
175,virulent,,2.6243630843707763e-05,
176,checkup,,2.5341074046648133e-05,
177,mcfarlane,,9.273079241762523e-06,
178,roevswade,,3.700810189099925e-05,
179,prospective,,2.5059395216451923e-05,
180,hello,,1.940709497917954e-05,0.025204241368957457
181,coronaviruswhich,,1.5730382469269387e-05,
182,intell,,1.619713851510367e-05,
183,damndest,,1.1279019394400521e-05,
184,message,,0.0,0.013100301312544053
185,belong,,4.50775967026449e-05,0.6542994004360524
