,term,controversy,tfidf,logodds
0,crowd,,0.20613686041190163,
1,cnn,,0.18697822578604434,
2,fun,,0.126691977928289,
3,drink,,0.05688174432498202,
4,strength,,0.1493672083667782,
5,fool,,0.04497232661664692,
6,hell,,0.12942211115476487,
7,baptist,,0.017515559112590853,
8,young,,0.16062172722564066,
9,instinct,,0.048418364351523815,
10,foolish,,0.039164920883653136,
11,match,,0.028091315250464464,
12,insist,,0.05106458090252672,
13,thirteenth,,0.03785197253465578,
14,spend,,0.14227337307746576,
15,small,0.189492379605809,0.22896039616517389,0.5661523605381269
16,flame,,0.031215605712024638,
17,household,,0.04998577708980581,
18,lock,0.2278642653166427,0.21289522135958175,
19,tract,,0.007841933953184176,
20,solemn,,0.026331851577174447,
21,fallout,,0.05138323669464537,
22,throughout,,0.15636403008142327,
23,agenda,,0.11419711173868534,
24,shop,,0.11476521863996467,
25,delay,,0.08423789447222522,
26,denial,,0.03286390727180098,
27,grown,,0.04951647126916653,
28,brightest,,0.013518740387813144,
29,bless,,0.09667997055686928,
30,malaria,,0.07127849176099232,
31,touch,,0.1517373662407303,
32,deat,,0.0463117082274219,
33,sell,,0.1463968769665992,
34,spite,,0.0487700870591979,
35,evil,,0.0354830588680302,
36,gun,,0.11860583400031674,
37,shrank,,0.007841933953184176,
38,treat,,0.15669187322489142,
39,illicit,,0.02845806992245035,
40,age,,0.16082275592623463,
41,ninety,,0.13386889094744803,
42,track,0.20802891876573515,0.2072217964933646,
43,bait,,0.03734311784720662,
44,pew,,0.02064556961446452,
45,neighbor,,0.07047863843730424,
46,know,,0.14572191134814813,0.5147949852642163
47,cloth,,0.04426971592244695,
48,personnel,,0.11480635761269448,
49,contact,,0.23574525270621027,
50,speaker,,0.06963425024167226,
51,peanut,,0.009238396897594574,
52,joel,,0.03286360726908988,
53,junior,,0.027176810189784583,
54,steve,,0.1716022971115204,
55,math,,0.06543948624000201,
56,cover,0.19608253059853128,0.1979712451284607,
57,accomplish,,0.05377022682481127,
58,greatest,,0.11896364002106438,
59,difficult,,0.1079391857324787,
60,peopl,,0.08222283440116583,
61,cluster,,0.05102746947075288,
62,church,,0.20373597489670092,
63,refuge,,0.05970807115439368,
64,idaho,,0.042555608914590995,
65,fact,0.18184751332751042,0.23854914893651186,1.8562155984463036
66,old,0.1889808039026175,0.24447848156288593,0.436183097694563
67,known,,0.15800277342624422,
68,barrier,,0.04323457590227031,
69,highest,,0.1522286853713113,
70,bloomberg,,0.12964378554365233,
71,alcohol,,0.026747432692175128,
72,latino,,0.0463117082274219,
73,obama,0.17388353681220917,0.45341272049104164,
74,green,,0.17074689097839757,
75,letter,,0.1307456838183183,
76,screen,,0.17181780069283972,
77,draw,,0.03446116678956711,
78,pump,,0.007831289574906005,
79,burr,,0.13500729625673977,
80,fifth,,0.08160540801309647,
81,nine,0.16594188135478966,0.23249537830905803,0.06682299422851473
82,clock,,0.07421421590645247,
83,holiday,,0.12417854393322293,
84,pfizer,,0.013572961862062687,
85,donald,,0.2337765831587082,
86,drown,,0.018405050562223982,
87,right,,0.1427331651134095,0.2991035050139431
88,livelihood,,0.07375148602922554,
89,hunt,,0.09043740914281602,
90,stake,,0.05710340393485497,
91,note,,0.14736737196731037,
92,experiment,,0.05117756856194719,
93,fcc,,0.007915992802392918,
94,longer,,0.16154577492886796,
95,strip,,0.018441243815772737,
96,motion,,0.022764367834807436,
97,fire,0.18391423650096786,0.2555128709384218,
98,film,,0.032449122139432865,
99,tuesday,,0.12626696405551674,
100,beneath,,0.04619258266770861,
101,oakland,,0.0954613299636305,
102,never,0.19671571049674463,0.2676815030314481,0.809696605996125
103,contagion,,0.04494440037210596,
104,petri,,0.00785035596965686,
105,mini,,0.007844466906413865,
106,scientist,,0.10838386437982392,
107,understood,,0.0869939684699772,
