,term,controversy,tfidf,logodds
0,abducted,,1.0509873552886118e-05,
1,facebook,,0.0,0.38607696707664335
2,immediate,,0.0,0.5202508453521258
3,delegates,,0.0,
4,okc,,4.124647470624536e-05,
5,participate,,0.0,0.9098489010177452
6,integral,,0.0,
7,louise,,2.8881132523331054e-05,
8,winston,,5.1740217787133504e-05,
9,mildly,,4.020886266686975e-05,
10,download,,0.0,
11,purple,,6.701477111144958e-06,
12,scheme,,0.0,
13,touches,,3.558260963447601e-05,
14,nicholson,,2.1142043372810486e-05,
15,moon,,0.0,
16,deadly,,0.0,0.05113683934610137
17,unleashed,,8.418519002136918e-06,
18,hampering,,4.112417843920711e-05,
19,prohibiting,,0.0,
20,ride,,0.0,
21,jared,,1.4440566261665527e-05,
22,articles,,1.0509873552886118e-05,
23,equipment,,0.0,0.18077648815900976
24,restored,,2.5255557006410757e-05,
25,longterm,,0.0,0.13117954701963766
26,claudia,,5.653316127235012e-05,
27,cried,,6.015873678927042e-05,
28,wisconsinites,,5.464942892853527e-05,
29,malign,,2.3912827775176032e-05,
30,scariest,,1.7211350664031075e-05,
31,charges,,0.0,
32,belong,,0.00012996509635498975,
33,announcement,,0.0,0.13708443957504174
34,nuts,,3.558260963447601e-05,
35,antipandemic,,1.8928392555023036e-05,
36,cnnsotu,,3.061430488632099e-05,
37,caring,,0.0,0.01611021723485057
38,right_thing,,0.00021019747105772236,0.7327595340540926
39,distant,,3.442270132806215e-05,
40,lotions,,1.7211350664031075e-05,
41,zealand,,1.7211350664031075e-05,
42,misinformed,,1.0509873552886118e-05,
43,counselors,,5.0718736219755866e-05,
44,secdef,,1.7211350664031075e-05,
45,borders,,0.0,1.1264974362781595
46,filed,,0.0,
47,evictions,,0.00023455169889007352,
48,protectpatientsnow,,2.2859085263802447e-05,
49,comment,,0.0,
50,dms,,6.88454026561243e-05,
51,meet,,0.0,0.16665489689616123
52,dysfunctional,,2.1019747105772236e-05,
53,aba,,2.2859085263802447e-05,
54,insane,,0.0,
55,heath,,0.0,
