,term,controversy,tfidf,logodds
0,eyewear,,6.4301342889969005e-06,
1,episcopal,,4.051549829997583e-05,
2,fallon,,0.0001214456890258057,0.5231586529371708
3,something,0.1803800996576598,0.0022806111933389582,0.03941053737051355
4,hinges,,3.3769961380627215e-05,
5,downplaying,,0.00020232516695773087,0.06704055837033208
6,thereby,,7.150319239455464e-05,0.8762331546881199
7,hoyers,,2.0215340555281104e-05,
8,reed,,0.0001443621623320343,0.12966973587572225
9,sighting,,2.287530258490648e-05,
10,driven,,0.0002100903139652998,0.24602321389877221
11,earth,,0.0006542741180383814,0.6197025873411732
12,dismay,,4.6158144509869065e-05,
13,saidand,,1.4255482496951059e-06,
14,botching,,5.6080853013270094e-06,
15,icelands,,5.780964342023828e-06,
16,nras,,6.734506498648807e-06,
17,sleeves,,4.686675228657563e-05,
18,brooms,,9.95548394896521e-06,
19,puget,,7.82181084952894e-06,
20,billboard,,7.153960332448674e-05,
21,ira,,1.3808591405872466e-05,
22,morality,,1.5386379534558175e-05,
23,collide,,7.711287579386284e-06,
24,changeorg,,4.883921734926361e-05,
25,another,0.1534373966762717,0.003431583151545704,0.04875398030774277
26,disarray,,2.0064376320259036e-05,
27,displeasure,,4.000389068689765e-05,
28,reversing,,3.670043110053952e-05,
29,furthering,,4.559490546640909e-06,
30,treated,,0.0007118725430507648,0.142918644115753
31,narcotics,,7.584627231231714e-05,0.23212030872978065
32,quite,,0.0006748638494253013,0.04147702384026118
33,demon,,1.0021039640624877e-05,
34,guide,,0.00023186720081170545,0.02448094395153598
35,exacted,,8.996360809094485e-06,
36,expel,,5.237844567723527e-05,0.4764660676945935
37,governance,,6.577291552187869e-05,0.8486563869178857
38,outposts,,5.1649506289109455e-06,
39,altered,,0.00012336300858848485,0.7839770831194036
40,crowdedness,,2.831272148181024e-06,
41,increased,,0.0009832670082677063,0.4231200869893008
42,mix,,0.00017770037182613638,1.087924666848909
43,testifying,,4.679583221676123e-05,
44,tibet,,5.88651690176033e-05,0.8819311758027578
45,meth,,7.87969672219082e-05,0.0870013009328703
46,ineligibility,,5.6209859843445536e-06,
47,return,,0.0019018463034828335,0.06391579460808047
48,ihrs,,4.517729614691825e-06,
49,usopc,,9.348651880912564e-06,
50,enamored,,9.853633249934513e-06,
51,duckworth,,4.609473777646866e-05,
52,crossover,,1.2174135326692796e-05,
53,increments,,4.648491513912515e-06,
54,feng,,9.489242077303915e-06,
55,hike,,4.6591766021052e-05,
