,term,controversy,tfidf,logodds
0,eyewear,,1.3231325112363815e-05,
1,episcopal,,4.555975990908276e-05,
2,carters,,9.932125795248493e-06,
3,fallon,,0.0002534993580087326,1.892504741653017
4,combinations,,2.05408809843592e-05,
5,travelinsurancecom,,3.3283216522551434e-05,
6,something,0.26861783156072927,0.0027403158847568937,0.23464718523713723
7,hinges,,2.3768157190505255e-05,
8,downplaying,,0.00025628228688845644,1.0303535245608264
9,thereby,,4.006893019046255e-05,0.28998727206349034
10,perfume,,1.934948289801187e-05,
11,reed,,0.00019386477239458793,0.09567927038916779
12,sixthhighest,,2.670350705631464e-06,
13,sighting,,1.8410087823053854e-05,
14,driven,,0.0002542038363067389,0.6309224056669593
15,earth,,0.00042806311416902483,0.35235969339899864
16,burmese,,4.653444991657362e-06,
17,dismay,,2.0965209962748803e-05,
18,icelands,,2.3612276188735355e-05,
19,nras,,9.047441876982482e-06,
20,sleeves,,3.7535415627101284e-05,
21,highestrated,,1.3624468018443182e-05,
22,snide,,1.3808645251597618e-05,
23,brooms,,3.527924675483549e-06,
24,billboard,,8.315738641703444e-05,1.2062780039376455
25,ira,,2.700084406370402e-05,
26,collide,,2.054565581066608e-05,
27,morality,,1.894167695171831e-05,
28,changeorg,,2.7129092191246798e-05,
29,another,0.1746306171458769,0.0034189942997729155,0.008293163934765254
30,disarray,,2.3984630456632497e-05,
31,meh,,4.5905763618212804e-06,
32,pimps,,9.100777445859237e-06,
33,displeasure,,2.00451296438178e-05,
34,reversing,,4.1159655230601984e-05,
35,janney,,2.3744410786914357e-05,
36,treated,,0.0007336821840960194,0.2716659883400767
37,narcotics,,1.578154721632878e-05,
38,furthering,,3.7897630495032157e-06,
39,quite,,0.0008387723588526089,0.05746654368820789
40,demon,,5.7491499113189386e-05,
41,guide,0.31479168799047996,0.016432091475766426,3.374031446422299
42,selfcheck,,4.481589349622379e-06,
43,governance,,5.969992544771736e-05,
44,expel,,2.897931111207353e-05,0.7907625599759794
45,altered,,0.0001428202604841109,0.25458534501257424
46,increased,,0.0009072837976121478,0.2726298608309053
47,mix,,0.00036659217741396894,0.1123060948260377
48,testifying,,2.9252388695126823e-05,
49,coleen,,1.2318751904051252e-05,
50,meth,,9.618811590133835e-06,
51,kiln,,4.053808603133214e-06,
52,protagonists,,3.3685228265215034e-06,
53,return,,0.0019457560549415445,0.30012415256558467
54,enamored,,1.551769236327549e-05,
55,abdallah,,4.6803512620353926e-05,
56,duckworth,,4.892499079655768e-05,
57,hollowed,,9.838942655293788e-06,
58,crossover,,1.6501097857165886e-05,
59,increments,,4.7782918855290735e-06,
60,feng,,2.9173845344684305e-05,
61,hike,,7.33715352336393e-05,0.08454329784868143
62,18inch,,2.321468433046591e-05,
63,catnip,,5.0272008672660986e-06,
