,term,controversy,tfidf,logodds
0,frontal,,5.441115882126737e-05,
1,dispensed,,2.6189100923180636e-05,
2,stigmatization,,3.0127507142228357e-05,
3,chimed,,0.00011043122419260843,
4,concentrated,,8.782626854556452e-05,0.053598493999259915
5,outlining,,8.020581538026542e-05,0.16367993786255197
6,hallucinations,,2.4496759404297764e-05,
7,immunizations,,3.1148277778501624e-05,1.0448280216287755
8,jelles,,8.697380633363568e-06,
9,social,0.8825526910132354,0.00515818193569864,0.15680157925324945
10,influenced,,8.42750102246859e-05,0.02210782690788905
11,stouffer,,1.4125463965188058e-05,
12,inhaler,,2.8751328871251832e-05,
13,flocks,,2.9812604993774105e-06,
14,forbes,,4.090606788063162e-05,0.5030804875241986
15,shortly,,0.0003253550937483068,0.025878367329776174
16,sauna,,9.1196326895347e-06,
17,converting,,4.256419962382197e-05,
18,120day,,9.995521520876504e-06,
19,cruz,,0.0001628324902751142,0.17332720115173067
20,smyth,,1.1894029828287804e-05,
21,knight,,4.922497174543885e-05,
22,anemia,,7.026350101615633e-06,
23,tenant,,7.523239399043864e-05,1.4457579745715485
24,brigade,,2.507791746975056e-05,
25,robins,,1.3966419866824132e-05,
26,inperson,,0.0007681270450561333,0.22879797471880153
27,neel,,1.103169377479761e-05,
28,storyline,,1.4471114026051958e-05,
29,subscribe,,0.0004412220716260264,0.6838733116321426
30,issue,,0.0015819313438274417,0.05316907169541614
31,precinct,,5.589489144516478e-05,1.0784446324277606
32,checker,,6.294523848002536e-06,
33,bleachers,,6.941541235853907e-06,
34,watches,,7.593577137830079e-05,0.059463613451657876
35,muddling,,1.9861067419519165e-06,
36,deckers,,3.1382809263714347e-06,
37,underreported,,1.5645278448451223e-05,
38,retraining,,7.11505547026032e-06,
39,disenfranchisement,,1.1676592204331856e-05,
40,frankie,,1.7042722030118813e-05,
41,cooperate,,4.559653738709828e-05,
42,wizard,,8.879722816612751e-06,
43,virtual,,0.0013390981056659824,0.16589571969960065
44,pediatricians,,3.0227732987925077e-05,
45,broadcasters,,3.240929798786086e-05,
46,rashes,,6.209572313837478e-05,
47,accommodate,,0.00015532072427681037,0.0668437207492805
48,lynam,,1.2489052376645052e-05,
49,uncontested,,4.5224297373669566e-06,
50,selfpreservation,,5.426627521249604e-06,
51,alcindor,,0.00010769875853556762,1.7940646688397643
52,sources,,0.0006389710496100959,0.7133148368002946
53,ballooned,,2.8596291734102027e-05,
54,conversions,,1.166369637973022e-05,
55,45yearold,,4.14013230357665e-05,
56,jaclyn,,5.953151034285641e-06,
57,tegnell,,3.315343505716602e-05,
58,unsupervised,,1.692355028141764e-05,
59,adorably,,1.8330926757696927e-05,
60,interaction,,0.0003129454116497988,0.04709695781444595
61,cline,,4.4615260854420535e-05,
62,buns,,3.384833831095405e-05,
63,graphics,,4.7921309702466517e-05,
64,perverse,,2.978648210178362e-05,
65,divide,,0.00020223828582688068,0.5775132956412327
66,tracer,,7.377818774669388e-05,
67,ocean,,0.0002598374868472857,0.8155454594491933
68,energized,,2.7902857044446674e-05,
69,dong,,3.214995250697854e-05,
70,appendix,,5.811026431206025e-06,
71,chaplain,,2.0079074844272766e-05,
72,calcium,,5.148038553689454e-05,
73,spectacular,,5.109295187017043e-05,
74,dispense,,2.1619385008359054e-05,
75,rewarded,,3.8440747473482434e-05,
76,souza,,0.00010378225932888571,0.2491652775432351
77,minibus,,5.267346782822423e-06,
78,mackerel,,6.916785201980642e-06,
79,mentions,,5.656545207215119e-05,1.2344488809043415
80,elm,,4.560396726589538e-05,
81,payouts,,6.18949766876226e-05,0.6546303856513995
82,overhauling,,1.6164715743969555e-05,
83,springdale,,1.695969546383199e-05,
84,sheltering,,0.00019704782287234941,0.31039614369469765
85,shrift,,1.3408595162962331e-05,
86,daeng,,4.070282492360615e-06,
87,cocreated,,6.676985374766622e-06,
88,installation,,0.00011050025584371541,
89,proving,,0.00013313908456205663,0.16862641505922293
90,shopify,,9.576678907251534e-06,
91,wearing,,0.0021028275882270056,0.030876878186977517
92,optic,,2.6885106158004536e-06,
93,furthest,,7.514636553495398e-06,
94,norwegian,,0.00013525439135171407,0.5085204241542814
95,outperformed,,9.948011895622422e-06,
96,colter,,1.4289536893921057e-05,
97,mighty,,7.514007436218605e-05,0.49478168470950357
98,1970s,,9.45647797671494e-05,0.20103572440632067
99,span,,7.581009534235733e-05,0.05109536378114134
100,hens,,1.2188701614099387e-05,
101,mailman,,2.5468415265894965e-05,
102,bled,,8.70348286725492e-06,
103,germridden,,1.9253274213144337e-06,
104,bam,,4.374360844472023e-06,
105,forty-four,,0.00036766867361898896,0.560920700547813
106,introspective,,1.0012288814590548e-05,
107,throat,,0.00026177550966878895,0.19798021362644994
108,custodians,,1.0538054325002624e-05,
109,covid19s,,8.706550434186029e-05,0.29585239151588816
110,1930s,,5.086211386895711e-05,0.514868443276241
111,pasmore,,2.173147585446134e-05,
112,midst,,0.00040489620658782245,0.10305531604611703
113,sulfate,,6.571075000457087e-06,
114,handmade,,0.0001388779426413036,0.18083301708880115
115,memberships,,3.468523334249332e-05,
116,moons,,2.0232407391832778e-05,
117,terrified,,0.00016463170525999652,0.8997528436843846
118,settling,,4.7443222790221275e-05,
119,lone,,5.628056020133714e-05,0.16819461821707848
