,term,controversy,tfidf,logodds
0,kenya,,0.0001604228433015143,1.364707231958731
1,baffling,,2.4264958994641948e-05,
2,prakan,,8.95785069718833e-06,
3,axed,,2.427537540913508e-05,
4,unvetted,,6.9574239104606235e-06,
5,evidenced,,1.828701089323614e-05,
6,parkdale,,9.06775706165669e-06,
7,edelman,,4.014271930452689e-05,
8,heartache,,1.1461977020053275e-05,
9,jeopardize,,3.8124833868325426e-05,
10,corden,,9.519195136278124e-05,
11,dormant,,2.8779844179120552e-05,
12,persisted,,4.30874756141137e-05,
13,citizen,,0.0002438916564453106,0.19629724278638286
14,received,,0.0014312181403695944,0.039444746561166096
15,spells,,4.3639945709230524e-05,
16,champ,,4.116422406597831e-05,
17,prepper,,6.669177547943522e-06,
18,staring,,9.030370667471405e-05,0.9333437881204198
19,magazine,,0.00022230187458347544,0.8087810654786578
20,lebanese,,5.4794608233230347e-05,
21,therese,,2.0737190814243165e-05,
22,whoopi,,3.98058794544808e-05,
23,greets,,3.307177717657938e-05,
24,wainwright,,3.5690710172874555e-06,
25,balboa,,7.289644705661479e-06,
26,hardliners,,1.3739718311932154e-05,
27,vincent,,0.0001301735432407642,0.2208383517025005
28,connecticuts,,2.675297558134209e-05,
29,controlled,,0.00022661575888330981,0.3942822344644376
30,hotspots,,0.00017370334542891162,0.7469314475992795
31,familyowned,,2.9217891516943116e-05,
32,harrowing,,5.4069302787137655e-05,
33,allocated,,0.0001081724593314765,0.7216136396149896
34,actively,,0.00027340900377438115,0.15499178590491364
35,infighting,,1.365601780867184e-05,
36,disgraceful,,3.873207586515901e-05,
37,linchpin,,7.772700881041672e-06,
38,improvisational,,4.5790124613960064e-06,
39,suddenly,,0.00048099517318588947,0.24745733519807903
40,semantics,,1.2135476975037329e-05,
41,doormen,,2.7665426323664563e-06,
42,nominal,,1.5355139549651577e-05,
43,bazar,,3.428930875824896e-05,
44,usps,,4.426854800478225e-05,0.39820085670372307
45,leadership,,0.0007834653915328512,0.1229706257470584
46,gobbled,,7.67514122638355e-06,
47,fared,,4.246763268805479e-05,
48,improperly,,3.24923126159816e-05,
49,eu,,0.00026908223505849466,1.050844714979643
50,crackers,,5.516625514496775e-05,
51,stars,,0.00041101283707827084,0.5400814439391669
52,insisted,,0.0004484854079685207,0.4207510191925948
53,usa,,0.00027522083685035156,0.3669483131996185
54,selfie,,6.249400206604551e-05,0.8132354158280382
55,bluish,,1.1171927418330397e-05,
56,displacement,,2.8039587547260025e-05,
57,datta,,2.1680669570765504e-05,
58,favor,,0.00030125286866233483,0.2688871000234038
59,bankers,,4.259639016797487e-05,
60,deposits,,5.890268397251936e-05,
61,mcc,,2.540485088405703e-05,
62,stupid,,0.0002712423409251689,0.8277635163909479
63,andersons,,1.7974319014741904e-05,
64,mcentire,,4.307592877837676e-06,
65,mcginty,,3.29584224432643e-05,
66,plaintively,,4.647796248860209e-06,
67,offering,,0.0008395429204783198,0.2851120072578054
68,bioterrorism,,7.352082363748002e-06,
69,boon,,4.8388523317447005e-05,
70,grewal,,1.2906477708812247e-05,
71,forty-fifth,,1.5394782283655214e-05,
72,rebellion,,5.9394366917700806e-05,0.5030804875241986
73,glasses,,0.00026635814554607667,0.4401517172229137
74,omit,,1.1360514384848807e-05,
75,lasik,,5.050442616695346e-06,
76,pornography,,2.3290207161355624e-05,
77,teach,,0.0002708266056696099,0.4576026814677495
78,doubledigit,,2.552296532242096e-05,
79,bifurcated,,1.8509524686889532e-05,
80,redemption,,2.3236800757116233e-05,
81,sinema,,2.7424051840593823e-05,
82,cinemark,,1.1711986961029612e-05,
83,publicist,,7.373623168089411e-05,1.0402928664633841
84,doortodoor,,2.4875536599810784e-05,
85,headstones,,1.0403645498745035e-05,
86,fairfax,,4.79234654735529e-05,
87,mccrory,,1.2281877085828228e-05,
88,totaled,,3.7478584930063806e-05,
89,uma,,3.0920728790570883e-06,
90,semiautomated,,9.684521892142797e-06,
91,midfielder,,2.175528222762713e-05,
92,shifting,,0.000198354858953222,0.16487969805445585
93,santiago,,5.362329024870865e-05,0.49478168470950357
94,bummer,,1.0834173276831016e-05,
95,tropes,,1.989666221045018e-05,
96,twentyseven,,1.4348013782470035e-05,
97,ezike,,2.0082380807696488e-05,
98,dyes,,1.1362287717916924e-05,
99,neat,,2.5595880522231566e-05,
100,walltowall,,7.86078649710561e-06,
101,weida,,2.1364011152511614e-05,
102,micrograms,,1.5102311482241938e-05,
103,stalking,,1.7705733077584514e-05,
104,yan,,1.0057756123976703e-05,
105,businessmen,,1.1213550923312517e-05,
106,champion,,0.00020196835413268858,0.5158464642463543
107,probable,,9.62716467227504e-05,1.1063574249099017
